PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 795                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P158"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:45.80                                     
START_TIME                    = 2001-12-24T01:17:18.00Z                                    
STOP_TIME                     = 2001-12-24T01:29:54.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 757                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 158 of aerobraking at Mars.  The data comes from                       
  p158_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-358T01:17:18.000  0.001072 -0.000092 -0.000235 -0.253343  0.171481 -0.459673  0.833734
2001-358T01:17:19.000  0.001051 -0.000092 -0.000234 -0.252947  0.171174 -0.459851  0.833819
2001-358T01:17:20.000  0.001071 -0.000098 -0.000261 -0.252541  0.170861 -0.460033  0.833906
2001-358T01:17:21.000  0.001076 -0.000095 -0.000246 -0.252143  0.170554 -0.460211  0.833991
2001-358T01:17:22.000  0.001069 -0.000094 -0.000241 -0.251739  0.170239 -0.460393  0.834077
2001-358T01:17:23.000  0.001073 -0.000081 -0.000245 -0.251340  0.169929 -0.460575  0.834160
2001-358T01:17:24.000  0.001083 -0.000086 -0.000254 -0.250942  0.169618 -0.460756  0.834243
2001-358T01:17:25.000  0.001061 -0.000079 -0.000240 -0.250543  0.169304 -0.460937  0.834327
2001-358T01:17:26.000  0.001041 -0.000088 -0.000252 -0.250144  0.168989 -0.461121  0.834409
2001-358T01:17:27.000  0.001055 -0.000098 -0.000261 -0.249756  0.168683 -0.461299  0.834488
2001-358T01:17:28.000  0.001050 -0.000089 -0.000249 -0.249348  0.168361 -0.461486  0.834572
2001-358T01:17:29.000  0.001052 -0.000097 -0.000264 -0.248955  0.168049 -0.461667  0.834652
2001-358T01:17:30.000  0.001050 -0.000090 -0.000262 -0.248556  0.167730 -0.461853  0.834733
2001-358T01:17:31.000  0.001061 -0.000087 -0.000252 -0.248163  0.167416 -0.462036  0.834811
2001-358T01:17:32.000  0.001053 -0.000107 -0.000262 -0.247767  0.167098 -0.462222  0.834890
2001-358T01:17:33.000  0.001043 -0.000098 -0.000264 -0.247371  0.166780 -0.462408  0.834968
2001-358T01:17:34.000  0.001040 -0.000103 -0.000272 -0.246977  0.166464 -0.462592  0.835045
2001-358T01:17:35.000  0.001040 -0.000102 -0.000261 -0.246581  0.166144 -0.462779  0.835122
2001-358T01:17:36.000  0.001048 -0.000097 -0.000269 -0.246185  0.165824 -0.462967  0.835199
2001-358T01:17:37.000  0.001047 -0.000092 -0.000276 -0.245796  0.165507 -0.463153  0.835273
2001-358T01:17:38.000  0.001054 -0.000106 -0.000280 -0.245399  0.165182 -0.463344  0.835348
2001-358T01:17:39.000  0.001062 -0.000101 -0.000276 -0.245011  0.164864 -0.463530  0.835421
2001-358T01:17:40.000  0.001058 -0.000111 -0.000268 -0.244616  0.164540 -0.463719  0.835496
2001-358T01:17:41.000  0.001056 -0.000111 -0.000268 -0.244226  0.164219 -0.463907  0.835569
2001-358T01:17:42.000  0.001056 -0.000100 -0.000290 -0.243830  0.163893 -0.464100  0.835642
2001-358T01:17:43.000  0.001042 -0.000100 -0.000282 -0.243442  0.163573 -0.464289  0.835713
2001-358T01:17:44.000  0.001039 -0.000115 -0.000286 -0.243052  0.163250 -0.464480  0.835783
2001-358T01:17:45.000  0.001036 -0.000106 -0.000279 -0.242663  0.162926 -0.464672  0.835853
2001-358T01:17:46.000  0.001040 -0.000110 -0.000284 -0.242272  0.162600 -0.464863  0.835924
2001-358T01:17:47.000  0.001055 -0.000114 -0.000278 -0.241885  0.162275 -0.465053  0.835993
2001-358T01:17:48.000  0.001047 -0.000113 -0.000286 -0.241496  0.161948 -0.465246  0.836061
2001-358T01:17:49.000  0.001032 -0.000114 -0.000281 -0.241113  0.161626 -0.465436  0.836129
2001-358T01:17:50.000  0.001040 -0.000108 -0.000282 -0.240721  0.161295 -0.465631  0.836197
2001-358T01:17:51.000  0.001050 -0.000117 -0.000299 -0.240335  0.160967 -0.465824  0.836264
2001-358T01:17:52.000  0.001058 -0.000116 -0.000299 -0.239946  0.160637 -0.466019  0.836330
2001-358T01:17:53.000  0.001060 -0.000112 -0.000309 -0.239564  0.160312 -0.466212  0.836394
2001-358T01:17:54.000  0.001060 -0.000110 -0.000308 -0.239177  0.159981 -0.466407  0.836459
2001-358T01:17:55.000  0.001054 -0.000137 -0.000302 -0.238793  0.159651 -0.466602  0.836524
2001-358T01:17:56.000  0.001050 -0.000123 -0.000307 -0.238407  0.159319 -0.466798  0.836588
2001-358T01:17:57.000  0.001057 -0.000119 -0.000309 -0.238023  0.158989 -0.466994  0.836650
2001-358T01:17:58.000  0.001049 -0.000117 -0.000307 -0.237636  0.158656 -0.467191  0.836714
2001-358T01:17:59.000  0.001040 -0.000125 -0.000304 -0.237268  0.158338 -0.467380  0.836773
2001-358T01:18:00.000  0.001029 -0.000131 -0.000315 -0.236870  0.157992 -0.467585  0.836837
2001-358T01:18:01.000  0.001037 -0.000121 -0.000318 -0.236488  0.157661 -0.467782  0.836897
2001-358T01:18:02.000  0.001036 -0.000128 -0.000320 -0.236105  0.157326 -0.467981  0.836957
2001-358T01:18:03.000  0.001042 -0.000121 -0.000316 -0.235724  0.156993 -0.468178  0.837017
2001-358T01:18:04.000  0.001045 -0.000119 -0.000314 -0.235345  0.156661 -0.468375  0.837075
2001-358T01:18:05.000  0.001052 -0.000131 -0.000311 -0.234962  0.156323 -0.468575  0.837134
2001-358T01:18:06.000  0.001048 -0.000137 -0.000316 -0.234580  0.155985 -0.468776  0.837192
2001-358T01:18:07.000  0.001043 -0.000129 -0.000312 -0.234202  0.155649 -0.468976  0.837248
2001-358T01:18:08.000  0.001037 -0.000135 -0.000313 -0.233820  0.155310 -0.469177  0.837305
2001-358T01:18:09.000  0.001028 -0.000128 -0.000323 -0.233446  0.154977 -0.469376  0.837359
2001-358T01:18:10.000  0.001048 -0.000127 -0.000326 -0.233062  0.154634 -0.469581  0.837415
2001-358T01:18:11.000  0.001046 -0.000124 -0.000341 -0.232686  0.154295 -0.469783  0.837469
2001-358T01:18:12.000  0.001037 -0.000147 -0.000326 -0.232306  0.153955 -0.469986  0.837523
2001-358T01:18:13.000  0.001046 -0.000132 -0.000328 -0.231929  0.153617 -0.470188  0.837576
2001-358T01:18:14.000  0.001029 -0.000144 -0.000322 -0.231553  0.153278 -0.470390  0.837629
2001-358T01:18:15.000  0.001025 -0.000148 -0.000321 -0.231175  0.152936 -0.470594  0.837681
2001-358T01:18:16.000  0.001046 -0.000140 -0.000340 -0.230795  0.152592 -0.470801  0.837733
2001-358T01:18:17.000  0.001041 -0.000144 -0.000343 -0.230420  0.152252 -0.471005  0.837783
2001-358T01:18:18.000  0.001044 -0.000148 -0.000338 -0.230043  0.151907 -0.471210  0.837834
2001-358T01:18:19.000  0.001035 -0.000146 -0.000344 -0.229671  0.151566 -0.471412  0.837884
2001-358T01:18:20.000  0.001029 -0.000140 -0.000341 -0.229293  0.151221 -0.471619  0.837934
2001-358T01:18:21.000  0.001014 -0.000147 -0.000355 -0.228919  0.150876 -0.471825  0.837982
2001-358T01:18:22.000  0.001028 -0.000137 -0.000341 -0.228541  0.150529 -0.472033  0.838031
2001-358T01:18:23.000  0.001044 -0.000133 -0.000351 -0.228166  0.150183 -0.472240  0.838078
2001-358T01:18:24.000  0.001050 -0.000142 -0.000349 -0.227791  0.149835 -0.472446  0.838126
2001-358T01:18:25.000  0.001034 -0.000156 -0.000349 -0.227418  0.149488 -0.472653  0.838173
2001-358T01:18:26.000  0.001037 -0.000158 -0.000352 -0.227039  0.149136 -0.472863  0.838220
2001-358T01:18:27.000  0.001040 -0.000166 -0.000363 -0.226666  0.148788 -0.473071  0.838265
2001-358T01:18:28.000  0.001030 -0.000160 -0.000355 -0.226289  0.148436 -0.473281  0.838311
2001-358T01:18:29.000  0.001041 -0.000166 -0.000350 -0.225919  0.148089 -0.473489  0.838355
2001-358T01:18:30.000  0.001039 -0.000144 -0.000358 -0.225540  0.147734 -0.473700  0.838400
2001-358T01:18:31.000  0.001049 -0.000155 -0.000353 -0.225178  0.147392 -0.473903  0.838443
2001-358T01:18:32.000  0.001032 -0.000158 -0.000344 -0.224794  0.147029 -0.474119  0.838488
2001-358T01:18:33.000  0.001044 -0.000147 -0.000359 -0.224422  0.146677 -0.474330  0.838530
2001-358T01:18:34.000  0.001042 -0.000158 -0.000354 -0.224051  0.146324 -0.474540  0.838572
2001-358T01:18:35.000  0.001047 -0.000180 -0.000357 -0.223677  0.145967 -0.474751  0.838614
2001-358T01:18:36.000  0.001043 -0.000167 -0.000368 -0.223301  0.145610 -0.474964  0.838656
2001-358T01:18:37.000  0.001046 -0.000156 -0.000360 -0.222928  0.145253 -0.475177  0.838696
2001-358T01:18:38.000  0.001053 -0.000158 -0.000376 -0.222553  0.144894 -0.475391  0.838736
2001-358T01:18:39.000  0.001042 -0.000164 -0.000372 -0.222184  0.144540 -0.475603  0.838775
2001-358T01:18:40.000  0.001063 -0.000158 -0.000382 -0.221806  0.144177 -0.475818  0.838816
2001-358T01:18:41.000  0.001049 -0.000161 -0.000370 -0.221435  0.143820 -0.476030  0.838855
2001-358T01:18:42.000  0.001046 -0.000180 -0.000350 -0.221056  0.143455 -0.476245  0.838895
2001-358T01:18:43.000  0.001044 -0.000163 -0.000376 -0.220684  0.143095 -0.476458  0.838934
2001-358T01:18:44.000  0.001051 -0.000168 -0.000362 -0.220310  0.142734 -0.476672  0.838972
2001-358T01:18:45.000  0.001062 -0.000171 -0.000370 -0.219934  0.142368 -0.476888  0.839010
2001-358T01:18:46.000  0.001060 -0.000168 -0.000386 -0.219555  0.142001 -0.477105  0.839048
2001-358T01:18:47.000  0.001046 -0.000170 -0.000373 -0.219181  0.141638 -0.477319  0.839085
2001-358T01:18:48.000  0.001060 -0.000172 -0.000364 -0.218803  0.141269 -0.477537  0.839123
2001-358T01:18:49.000  0.001061 -0.000169 -0.000375 -0.218429  0.140904 -0.477750  0.839160
2001-358T01:18:50.000  0.001079 -0.000183 -0.000379 -0.218050  0.140533 -0.477968  0.839196
2001-358T01:18:51.000  0.001087 -0.000187 -0.000378 -0.217673  0.140165 -0.478184  0.839233
2001-358T01:18:52.000  0.001074 -0.000177 -0.000390 -0.217294  0.139792 -0.478402  0.839269
