PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 560                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P016"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:08.38                                     
START_TIME                    = 2001-11-04T14:04:41.00Z                                    
STOP_TIME                     = 2001-11-04T14:13:22.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 522                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 016 of aerobraking at Mars.  The data comes from                       
  p016_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-308T14:05:18.000  0.000717  0.000152 -0.000663 -0.024410 -0.061154  0.552807 -0.830704
2001-308T14:05:19.000  0.000707  0.000151 -0.000667 -0.024728 -0.061035  0.553104 -0.830505
2001-308T14:05:20.000  0.000699  0.000154 -0.000669 -0.025042 -0.060918  0.553400 -0.830308
2001-308T14:05:21.000  0.000692  0.000154 -0.000677 -0.025358 -0.060799  0.553697 -0.830109
2001-308T14:05:22.000  0.000690  0.000161 -0.000692 -0.025672 -0.060680  0.553992 -0.829911
2001-308T14:05:23.000  0.000692  0.000155 -0.000670 -0.025986 -0.060561  0.554288 -0.829712
2001-308T14:05:24.000  0.000692  0.000155 -0.000668 -0.026300 -0.060442  0.554586 -0.829511
2001-308T14:05:25.000  0.000701  0.000151 -0.000679 -0.026612 -0.060323  0.554883 -0.829312
2001-308T14:05:26.000  0.000702  0.000158 -0.000662 -0.026925 -0.060204  0.555179 -0.829112
2001-308T14:05:27.000  0.000687  0.000166 -0.000674 -0.027238 -0.060085  0.555479 -0.828909
2001-308T14:05:28.000  0.000701  0.000166 -0.000680 -0.027549 -0.059966  0.555777 -0.828708
2001-308T14:05:29.000  0.000698  0.000163 -0.000676 -0.027861 -0.059846  0.556076 -0.828506
2001-308T14:05:30.000  0.000695  0.000149 -0.000681 -0.028171 -0.059726  0.556373 -0.828304
2001-308T14:05:31.000  0.000698  0.000150 -0.000669 -0.028481 -0.059606  0.556672 -0.828101
2001-308T14:05:32.000  0.000708  0.000148 -0.000670 -0.028791 -0.059485  0.556970 -0.827899
2001-308T14:05:33.000  0.000701  0.000158 -0.000670 -0.029102 -0.059366  0.557271 -0.827695
2001-308T14:05:34.000  0.000674  0.000134 -0.000677 -0.029409 -0.059245  0.557569 -0.827491
2001-308T14:05:35.000  0.000701  0.000143 -0.000686 -0.029714 -0.059125  0.557865 -0.827289
2001-308T14:05:36.000  0.000696  0.000142 -0.000680 -0.030028 -0.059002  0.558168 -0.827082
2001-308T14:05:37.000  0.000691  0.000136 -0.000679 -0.030336 -0.058879  0.558468 -0.826878
2001-308T14:05:38.000  0.000691  0.000153 -0.000673 -0.030645 -0.058757  0.558767 -0.826673
2001-308T14:05:39.000  0.000712  0.000132 -0.000674 -0.030952 -0.058634  0.559066 -0.826468
2001-308T14:05:40.000  0.000692  0.000141 -0.000687 -0.031260 -0.058511  0.559364 -0.826263
2001-308T14:05:41.000  0.000692  0.000147 -0.000690 -0.031568 -0.058387  0.559663 -0.826058
2001-308T14:05:42.000  0.000697  0.000138 -0.000681 -0.031877 -0.058262  0.559962 -0.825852
2001-308T14:05:43.000  0.000705  0.000150 -0.000688 -0.032188 -0.058136  0.560261 -0.825647
2001-308T14:05:44.000  0.000700  0.000148 -0.000686 -0.032495 -0.058010  0.560557 -0.825442
2001-308T14:05:45.000  0.000707  0.000152 -0.000680 -0.032808 -0.057882  0.560856 -0.825236
2001-308T14:05:46.000  0.000710  0.000141 -0.000673 -0.033119 -0.057754  0.561153 -0.825030
2001-308T14:05:47.000  0.000719  0.000135 -0.000673 -0.033431 -0.057624  0.561448 -0.824826
2001-308T14:05:48.000  0.000724  0.000147 -0.000672 -0.033743 -0.057493  0.561743 -0.824622
2001-308T14:05:49.000  0.000734  0.000132 -0.000666 -0.034057 -0.057360  0.562038 -0.824417
2001-308T14:05:50.000  0.000724  0.000140 -0.000658 -0.034370 -0.057227  0.562331 -0.824214
2001-308T14:05:51.000  0.000722  0.000140 -0.000660 -0.034685 -0.057092  0.562623 -0.824010
2001-308T14:05:52.000  0.000727  0.000137 -0.000663 -0.035003 -0.056955  0.562915 -0.823807
2001-308T14:05:53.000  0.000728  0.000119 -0.000652 -0.035322 -0.056817  0.563206 -0.823604
2001-308T14:05:54.000  0.000733  0.000135 -0.000654 -0.035640 -0.056679  0.563495 -0.823402
2001-308T14:05:55.000  0.000741  0.000123 -0.000660 -0.035959 -0.056538  0.563784 -0.823200
2001-308T14:05:56.000  0.000726  0.000127 -0.000661 -0.036282 -0.056397  0.564072 -0.822998
2001-308T14:05:57.000  0.000726  0.000122 -0.000661 -0.036603 -0.056255  0.564357 -0.822798
2001-308T14:05:58.000  0.000727  0.000132 -0.000648 -0.036926 -0.056110  0.564642 -0.822598
2001-308T14:05:59.000  0.000747  0.000131 -0.000652 -0.037253 -0.055964  0.564927 -0.822397
2001-308T14:05:60.000  0.000758  0.000120 -0.000635 -0.037578 -0.055817  0.565208 -0.822199
