PDS_VERSION_ID          = PDS3                                                
                                                                              
RECORD_TYPE             = FIXED_LENGTH                                        
RECORD_BYTES            = 80                                                  
FILE_RECORDS            = 509                                                 
LABEL_RECORDS           = 42                                                  
RECORD_FORMAT           = "F7.1,1X,F5.1,1X,F6.1,1X,F4.1,1X,F5.1,1X,F6.2,1X,   
                           F7.3,1X,F6.3,1X)"                                  
^TABLE                  = 43                                                  
PRODUCT_ID              = "ORBIT_PROFILE_L2P010"                              
INSTRUMENT_HOST_NAME    = "2001 MARS ODYSSEY"                                 
INSTRUMENT_NAME         = ACCELEROMETER                                       
DATA_SET_ID             = "ODY-M-ACCEL-5-PROFILE-V2.0"                        
TARGET_NAME               = MARS                                              
PRODUCT_CREATION_TIME         = 2007-10-28T10:58:05.63                        
START_TIME                    = 2001-10-31T01:02:01.00Z                       
STOP_TIME                     = 2001-10-31T01:09:47.00Z                       
                                                                              
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                      
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                      
                                                                              
OBJECT                  = TABLE                                               
 ROWS                   = 467                                                 
 ROW_BYTES              = 80                                                  
 INTERCHANGE_FORMAT     = ASCII                                               
 COLUMNS                = 8                                                   
 ^STRUCTURE             = "PROFILE.FMT"                                       
 DESCRIPTION            = "                                                   
  This table contains Level 2 density data at 1 second resolution for         
  orbit 010 during aerobraking. The data included are time from               
  periapsis (sec), latitude (deg), longitude (deg), LST (hr),                 
  SZA (deg), altitude (km), density (kg/km**3) and density sigma.             
  Density sigma is based on noise plus 1 percent bias. The data               
  covers 60 seconds before and after an altitude of 170 km.                   
                                                                              
  Robert H. Tolson                                                            
  28-Oct-2007                                                                 
  "                                                                           
                                                                              
END_OBJECT              = TABLE                                               
END                                                                           
                                                                              
 -232.7  85.0  208.5 20.4 117.9 204.95   0.257  0.121                         
 -231.7  84.9  207.9 20.4 117.9 204.32  -0.184  0.121                         
 -230.7  84.9  207.3 20.4 117.9 203.70  -0.008  0.119                         
 -229.7  84.8  206.8 20.3 117.9 203.08   0.052  0.119                         
 -228.7  84.8  206.2 20.3 117.9 202.47   0.110  0.120                         
 -227.7  84.7  205.7 20.3 117.9 201.85   0.001  0.119                         
 -226.7  84.7  205.2 20.2 117.9 201.24  -0.089  0.120                         
 -225.7  84.6  204.7 20.2 117.8 200.63   0.030  0.119                         
 -224.7  84.5  204.2 20.2 117.8 200.02  -0.099  0.120                         
 -223.7  84.5  203.7 20.1 117.8 199.42   0.104  0.120                         
 -222.7  84.4  203.2 20.1 117.8 198.82  -0.183  0.121                         
 -221.7  84.4  202.8 20.1 117.8 198.22   0.044  0.119                         
 -220.7  84.3  202.3 20.0 117.8 197.62  -0.078  0.120                         
 -219.7  84.3  201.9 20.0 117.8 197.03  -0.023  0.119                         
 -218.7  84.2  201.4 20.0 117.7 196.43   0.024  0.119                         
 -217.7  84.1  201.0 19.9 117.7 195.84  -0.062  0.119                         
 -216.7  84.1  200.6 19.9 117.7 195.26   0.132  0.120                         
 -215.7  84.0  200.1 19.9 117.7 194.67   0.043  0.119                         
 -214.7  84.0  199.7 19.9 117.7 194.09   0.162  0.120                         
 -213.7  83.9  199.3 19.8 117.7 193.51   0.001  0.119                         
 -212.7  83.8  198.9 19.8 117.7 192.93   0.039  0.119                         
 -211.7  83.8  198.6 19.8 117.7 192.36  -0.100  0.120                         
 -210.7  83.7  198.2 19.8 117.6 191.79   0.141  0.120                         
 -209.7  83.7  197.8 19.7 117.6 191.22  -0.110  0.120                         
