PDS_VERSION_ID          = PDS3                                                
                                                                              
RECORD_TYPE             = FIXED_LENGTH                                        
RECORD_BYTES            = 80                                                  
FILE_RECORDS            = 580                                                 
LABEL_RECORDS           = 42                                                  
RECORD_FORMAT           = "F7.1,1X,F5.1,1X,F6.1,1X,F4.1,1X,F5.1,1X,F6.2,1X,   
                           F7.3,1X,F6.3,1X)"                                  
^TABLE                  = 43                                                  
PRODUCT_ID              = "ORBIT_PROFILE_L2P018"                              
INSTRUMENT_HOST_NAME    = "2001 MARS ODYSSEY"                                 
INSTRUMENT_NAME         = ACCELEROMETER                                       
DATA_SET_ID             = "ODY-M-ACCEL-5-PROFILE-V2.0"                        
TARGET_NAME               = MARS                                              
PRODUCT_CREATION_TIME         = 2007-10-28T10:58:08.44                        
START_TIME                    = 2001-11-06T01:21:19.00Z                       
STOP_TIME                     = 2001-11-06T01:30:16.00Z                       
                                                                              
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                      
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                      
                                                                              
OBJECT                  = TABLE                                               
 ROWS                   = 538                                                 
 ROW_BYTES              = 80                                                  
 INTERCHANGE_FORMAT     = ASCII                                               
 COLUMNS                = 8                                                   
 ^STRUCTURE             = "PROFILE.FMT"                                       
 DESCRIPTION            = "                                                   
  This table contains Level 2 density data at 1 second resolution for         
  orbit 018 during aerobraking. The data included are time from               
  periapsis (sec), latitude (deg), longitude (deg), LST (hr),                 
 -207.8  84.6 -105.3 19.9 117.7 171.76  -0.121  0.534                         
 -206.8  84.5 -105.9 19.9 117.7 171.20   0.098  0.533                         
 -205.8  84.5 -106.3 19.9 117.6 170.64  -0.080  0.533                         
 -204.8  84.4 -106.8 19.8 117.6 170.08   0.176  0.534                         
 -203.8  84.4 -107.3 19.8 117.6 169.52   0.179  0.534                         
 -202.8  84.3 -107.8 19.8 117.6 168.97  -0.019  0.533                         
 -201.8  84.2 -108.2 19.7 117.6 168.42  -0.232  0.535                         
 -200.8  84.2 -108.7 19.7 117.6 167.87   0.210  0.534                         
 -199.8  84.1 -109.1 19.7 117.5 167.33   0.129  0.534                         
 -198.8  84.1 -109.5 19.6 117.5 166.78   0.049  0.533                         
 -197.8  84.0 -109.9 19.6 117.5 166.24  -0.116  0.534                         
 -196.8  83.9 -110.4 19.6 117.5 165.71   0.212  0.535                         
 -195.8  83.9 -110.8 19.6 117.5 165.17   0.047  0.533                         
 -194.8  83.8 -111.2 19.5 117.4 164.64  -0.017  0.533                         
 -193.8  83.8 -111.5 19.5 117.4 164.11   0.068  0.533                         
 -192.8  83.7 -111.9 19.5 117.4 163.58  -0.083  0.533                         
 -191.8  83.6 -112.3 19.5 117.4 163.06   0.348  0.536                         
 -190.8  83.6 -112.7 19.4 117.4 162.53  -0.064  0.533                         
 -189.8  83.5 -113.0 19.4 117.3 162.01  -0.010  0.532                         
 -188.8  83.5 -113.4 19.4 117.3 161.50  -0.165  0.534                         
 -187.8  83.4 -113.7 19.4 117.3 160.98   0.168  0.534                         
 -186.8  83.3 -114.1 19.3 117.3 160.47  -0.063  0.533                         
 -185.8  83.3 -114.4 19.3 117.3 159.96   0.055  0.533                         
 -184.8  83.2 -114.7 19.3 117.3 159.45  -0.048  0.533                         
 -183.8  83.1 -115.1 19.3 117.2 158.95  -0.014  0.533                         
 -182.8  83.1 -115.4 19.3 117.2 158.45   0.133  0.534                         
 -181.8  83.0 -115.7 19.2 117.2 157.95   0.068  0.533                         
 -180.8  82.9 -116.0 19.2 117.2 157.45   0.031  0.533                         
 -179.8  82.9 -116.3 19.2 117.2 156.95   0.084  0.533                         
 -178.8  82.8 -116.6 19.2 117.1 156.46   0.089  0.533                         
 -177.8  82.8 -116.9 19.2 117.1 155.97   0.221  0.535                         
 -176.8  82.7 -117.2 19.1 117.1 155.49  -0.033  0.533                         
 -175.8  82.6 -117.5 19.1 117.1 155.00   0.062  0.533                         
 -174.8  82.6 -117.7 19.1 117.1 154.52  -0.095  0.533                         
 -173.8  82.5 -118.0 19.1 117.0 154.04   0.259  0.535                         
 -172.8  82.4 -118.3 19.1 117.0 153.57   0.157  0.534                         
 -171.8  82.4 -118.5 19.1 117.0 153.09  -0.036  0.533                         
 -170.8  82.3 -118.8 19.0 117.0 152.62   0.215  0.535                         
 -169.8  82.2 -119.0 19.0 117.0 152.15   0.046  0.533                         
 -168.8  82.2 -119.3 19.0 116.9 151.69   0.092  0.533                         
 -167.8  82.1 -119.5 19.0 116.9 151.22  -0.221  0.535                         
 -166.8  82.0 -119.8 19.0 116.9 150.76   0.230  0.535                         
 -165.8  82.0 -120.0 19.0 116.9 150.30   0.034  0.533                         
 -164.8  81.9 -120.2 18.9 116.9 149.85   0.365  0.536                         
 -163.8  81.8 -120.5 18.9 116.8 149.39   0.042  0.533                         
 -162.8  81.8 -120.7 18.9 116.8 148.94   0.138  0.534                         
 -161.8  81.7 -120.9 18.9 116.8 148.49   0.357  0.536                         
 -160.8  81.6 -121.1 18.9 116.8 148.05  -0.185  0.534                         
 -159.8  81.6 -121.4 18.9 116.8 147.61   0.178  0.534                         
 -158.8  81.5 -121.6 18.9 116.7 147.17  -0.048  0.533                         
 -157.8  81.4 -121.8 18.8 116.7 146.73   0.191  0.534                         
 -156.8  81.4 -122.0 18.8 116.7 146.29   0.241  0.535                         
 -155.8  81.3 -122.2 18.8 116.7 145.86   0.072  0.533                         
 -154.8  81.2 -122.4 18.8 116.7 145.43   0.354  0.536                         
 -153.8  81.1 -122.6 18.8 116.6 145.00   0.108  0.533                         
 -152.8  81.1 -122.8 18.8 116.6 144.58   0.175  0.534                         
 -151.8  81.0 -123.0 18.8 116.6 144.16   0.048  0.533                         
 -150.8  80.9 -123.2 18.7 116.6 143.74   0.243  0.535                         
 -149.8  80.9 -123.4 18.7 116.6 143.32   0.315  0.536                         
 -148.8  80.8 -123.5 18.7 116.5 142.90   0.249  0.535                         
 -147.8  80.7 -123.7 18.7 116.5 142.49   0.045  0.533                         
 -146.8  80.7 -123.9 18.7 116.5 142.08   0.352  0.536                         
 -145.8  80.6 -124.1 18.7 116.5 141.68   0.270  0.535                         
 -144.8  80.5 -124.3 18.7 116.5 141.27   0.390  0.536                         
 -143.8  80.5 -124.4 18.7 116.4 140.87   0.219  0.535                         
 -142.8  80.4 -124.6 18.7 116.4 140.47   0.445  0.537                         
 -141.8  80.3 -124.8 18.6 116.4 140.08   0.294  0.535                         
 -140.8  80.2 -124.9 18.6 116.4 139.68   0.595  0.538                         
 -139.8  80.2 -125.1 18.6 116.3 139.29   0.266  0.535                         
 -138.8  80.1 -125.2 18.6 116.3 138.90   0.459  0.537                         
 -137.8  80.0 -125.4 18.6 116.3 138.52   0.397  0.536                         
 -136.8  80.0 -125.6 18.6 116.3 138.14   0.346  0.536                         
 -135.8  79.9 -125.7 18.6 116.3 137.76   0.568  0.538                         
 -134.8  79.8 -125.9 18.6 116.2 137.38   0.446  0.537                         
 -133.8  79.8 -126.0 18.6 116.2 137.00   0.531  0.538                         
 -132.8  79.7 -126.2 18.6 116.2 136.63   0.723  0.540                         
 -131.8  79.6 -126.3 18.5 116.2 136.26   0.523  0.538                         
 -130.8  79.5 -126.4 18.5 116.2 135.89   0.737  0.540                         
 -129.8  79.5 -126.6 18.5 116.1 135.53   0.620  0.539                         
 -128.8  79.4 -126.7 18.5 116.1 135.17   0.688  0.539                         
 -127.8  79.3 -126.9 18.5 116.1 134.81   0.934  0.542                         
 -126.8  79.3 -127.0 18.5 116.1 134.45   0.745  0.540                         
 -125.8  79.2 -127.1 18.5 116.0 134.10   0.838  0.541                         
 -124.8  79.1 -127.3 18.5 116.0 133.74   1.068  0.543                         
 -123.8  79.0 -127.4 18.5 116.0 133.40   1.002  0.542                         
 -122.8  79.0 -127.5 18.5 116.0 133.05   1.262  0.545                         
 -121.8  78.9 -127.7 18.5 116.0 132.71   1.252  0.545                         
 -120.8  78.8 -127.8 18.4 115.9 132.37   0.827  0.541                         
 -119.8  78.8 -127.9 18.4 115.9 132.03   0.881  0.541                         
 -118.8  78.7 -128.0 18.4 115.9 131.69   1.392  0.546                         
 -117.8  78.6 -128.2 18.4 115.9 131.36   1.218  0.545                         
 -116.8  78.6 -128.3 18.4 115.8 131.03   1.329  0.546                         
 -115.8  78.5 -128.4 18.4 115.8 130.70   1.527  0.548                         
 -114.8  78.4 -128.5 18.4 115.8 130.38   1.132  0.544                         
 -113.8  78.3 -128.6 18.4 115.8 130.05   1.340  0.546                         
 -112.8  78.3 -128.8 18.4 115.8 129.73   1.353  0.546                         
 -111.8  78.2 -128.9 18.4 115.7 129.42   1.425  0.547                         
 -110.8  78.1 -129.0 18.4 115.7 129.10   1.196  0.544                         
 -109.8  78.0 -129.1 18.4 115.7 128.79   1.398  0.546                         
 -108.8  78.0 -129.2 18.4 115.7 128.48   1.528  0.548                         
 -107.8  77.9 -129.3 18.3 115.6 128.17   1.789  0.550                         
 -106.8  77.8 -129.4 18.3 115.6 127.87   1.784  0.550                         
 -105.8  77.8 -129.5 18.3 115.6 127.57   2.145  0.554                         
 -104.8  77.7 -129.6 18.3 115.6 127.27   2.425  0.557                         
 -103.8  77.6 -129.7 18.3 115.5 126.97   2.409  0.556                         
 -102.8  77.5 -129.8 18.3 115.5 126.68   2.453  0.557                         
 -101.8  77.5 -129.9 18.3 115.5 126.39   2.273  0.555                         
 -100.8  77.4 -130.0 18.3 115.5 126.10   2.671  0.559                         
  -99.8  77.3 -130.1 18.3 115.5 125.82   3.092  0.563                         
  -98.8  77.3 -130.2 18.3 115.4 125.54   3.698  0.569                         
  -97.8  77.2 -130.3 18.3 115.4 125.26   3.798  0.570                         
  -96.8  77.1 -130.4 18.3 115.4 124.98   4.801  0.580                         
  -95.8  77.0 -130.5 18.3 115.4 124.70   5.025  0.583                         
  -94.8  77.0 -130.6 18.3 115.3 124.43   4.886  0.581                         
  -93.8  76.9 -130.7 18.3 115.3 124.16   5.027  0.583                         
  -92.8  76.8 -130.8 18.3 115.3 123.90   5.800  0.590                         
  -91.8  76.7 -130.9 18.2 115.3 123.63   6.190  0.594                         
  -90.8  76.7 -131.0 18.2 115.2 123.37   6.900  0.601                         
  -89.8  76.6 -131.1 18.2 115.2 123.11   7.263  0.605                         
  -88.8  76.5 -131.2 18.2 115.2 122.86   6.961  0.602                         
  -87.8  76.5 -131.3 18.2 115.2 122.60   7.672  0.609                         
