PDS_VERSION_ID          = PDS3                                                
                                                                              
RECORD_TYPE             = FIXED_LENGTH                                        
RECORD_BYTES            = 80                                                  
FILE_RECORDS            = 718                                                 
LABEL_RECORDS           = 42                                                  
RECORD_FORMAT           = "F7.1,1X,F5.1,1X,F6.1,1X,F4.1,1X,F5.1,1X,F6.2,1X,   
                           F7.3,1X,F6.3,1X)"                                  
^TABLE                  = 43                                                  
PRODUCT_ID              = "ORBIT_PROFILE_L2P110"                              
INSTRUMENT_HOST_NAME    = "2001 MARS ODYSSEY"                                 
INSTRUMENT_NAME         = ACCELEROMETER                                       
DATA_SET_ID             = "ODY-M-ACCEL-5-PROFILE-V2.0"                        
TARGET_NAME               = MARS                                              
PRODUCT_CREATION_TIME         = 2007-10-28T10:58:42.08                        
START_TIME                    = 2001-12-15T03:06:47.00Z                       
STOP_TIME                     = 2001-12-15T03:18:02.00Z                       
                                                                              
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                      
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                      
                                                                              
OBJECT                  = TABLE                                               
 ROWS                   = 676                                                 
 ROW_BYTES              = 80                                                  
 INTERCHANGE_FORMAT     = ASCII                                               
 COLUMNS                = 8                                                   
 ^STRUCTURE             = "PROFILE.FMT"                                       
 DESCRIPTION            = "                                                   
  This table contains Level 2 density data at 1 second resolution for         
  orbit 110 during aerobraking. The data included are time from               
  periapsis (sec), latitude (deg), longitude (deg), LST (hr),                 
  SZA (deg), altitude (km), density (kg/km**3) and density sigma.             
  Density sigma is based on noise plus 1 percent bias. The data               
  covers 60 seconds before and after an altitude of 170 km.                   
                                                                              
  Robert H. Tolson                                                            
  28-Oct-2007                                                                 
  "                                                                           
                                                                              
END_OBJECT              = TABLE                                               
END                                                                           
                                                                              
 -337.8  69.6   -3.4  3.0 127.1 203.13  -0.186  0.897                         
 -336.8  69.7   -3.4  3.0 127.1 202.52   0.213  0.897                         
 -335.8  69.7   -3.5  3.0 127.0 201.91  -0.192  0.897                         
 -334.8  69.8   -3.5  3.0 127.0 201.31   0.166  0.897                         
 -333.8  69.9   -3.5  2.9 127.0 200.70  -0.018  0.895                         
 -332.8  69.9   -3.6  2.9 126.9 200.10   0.129  0.896                         
 -331.8  70.0   -3.6  2.9 126.9 199.50   0.028  0.895                         
 -330.8  70.1   -3.7  2.9 126.9 198.90   0.006  0.895                         
 -329.8  70.1   -3.7  2.9 126.8 198.30  -0.146  0.896                         
 -328.8  70.2   -3.8  2.9 126.8 197.70  -0.088  0.896                         
 -327.8  70.3   -3.8  2.9 126.8 197.11   0.020  0.895                         
 -326.8  70.3   -3.8  2.9 126.8 196.51   0.042  0.895                         
 -325.8  70.4   -3.9  2.9 126.7 195.92  -0.050  0.895                         
 -324.8  70.5   -3.9  2.9 126.7 195.33   0.111  0.896                         
 -323.8  70.5   -4.0  2.9 126.7 194.74  -0.256  0.897                         
 -322.8  70.6   -4.0  2.9 126.6 194.16  -0.115  0.896                         
 -321.8  70.7   -4.0  2.9 126.6 193.57  -0.085  0.896                         
 -320.8  70.7   -4.1  2.9 126.6 192.99   0.058  0.895                         
 -319.8  70.8   -4.1  2.9 126.5 192.41  -0.011  0.895                         
 -318.8  70.9   -4.2  2.9 126.5 191.83   0.075  0.896                         
 -317.8  70.9   -4.2  2.9 126.5 191.25   0.095  0.896                         
 -316.8  71.0   -4.3  2.9 126.5 190.67  -0.064  0.895                         
 -315.8  71.1   -4.3  2.9 126.4 190.10   0.084  0.896                         
 -314.8  71.1   -4.4  2.9 126.4 189.52   0.028  0.895                         
 -313.8  71.2   -4.4  2.9 126.4 188.95   0.038  0.895                         
 -312.8  71.3   -4.4  2.9 126.3 188.38  -0.174  0.897                         
 -311.8  71.3   -4.5  2.9 126.3 187.81  -0.149  0.896                         
 -310.8  71.4   -4.5  2.9 126.3 187.25  -0.045  0.895                         
 -309.8  71.5   -4.6  2.9 126.2 186.68   0.194  0.897                         
 -308.8  71.5   -4.6  2.9 126.2 186.12  -0.283  0.898                         
 -307.8  71.6   -4.7  2.9 126.2 185.56  -0.113  0.896                         
 -306.8  71.7   -4.7  2.9 126.1 185.00  -0.033  0.895                         
 -305.8  71.7   -4.8  2.9 126.1 184.44   0.195  0.897                         
 -304.8  71.8   -4.8  2.9 126.1 183.88   0.032  0.895                         
 -303.8  71.9   -4.9  2.9 126.0 183.33   0.181  0.897                         
 -302.8  71.9   -4.9  2.9 126.0 182.77  -0.000  0.895                         
 -301.8  72.0   -5.0  2.9 126.0 182.22  -0.077  0.896                         
 -300.8  72.1   -5.0  2.9 126.0 181.67   0.124  0.896                         
 -299.8  72.1   -5.1  2.9 125.9 181.12   0.121  0.896                         
 -298.8  72.2   -5.1  2.9 125.9 180.58  -0.090  0.896                         
 -297.8  72.3   -5.2  2.8 125.9 180.03   0.176  0.897                         
 -296.8  72.3   -5.2  2.8 125.8 179.49   0.045  0.895                         
 -295.8  72.4   -5.3  2.8 125.8 178.95   0.086  0.896                         
