PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 709                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P106"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:31.91                                     
START_TIME                    = 2001-12-14T04:10:07.00Z                                    
STOP_TIME                     = 2001-12-14T04:21:17.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 671                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 106 of aerobraking at Mars.  The data comes from                       
  p106_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-348T04:10:53.000  0.001041  0.000351 -0.000214 -0.080415  0.105397 -0.504038  0.853446
2001-348T04:10:54.000  0.001040  0.000340 -0.000215 -0.079896  0.105272 -0.504197  0.853417
2001-348T04:10:55.000  0.001042  0.000353 -0.000211 -0.079378  0.105148 -0.504355  0.853387
2001-348T04:10:56.000  0.001044  0.000348 -0.000219 -0.078859  0.105026 -0.504514  0.853356
2001-348T04:10:57.000  0.001048  0.000350 -0.000214 -0.078339  0.104902 -0.504673  0.853325
2001-348T04:10:58.000  0.001041  0.000351 -0.000215 -0.077820  0.104779 -0.504832  0.853294
2001-348T04:10:59.000  0.001036  0.000338 -0.000227 -0.077302  0.104657 -0.504991  0.853262
2001-348T04:10:60.000  0.001019  0.000336 -0.000217 -0.076784  0.104535 -0.505150  0.853229
2001-348T04:11:01.000  0.001039  0.000351 -0.000210 -0.076264  0.104414 -0.505308  0.853197
2001-348T04:11:02.000  0.001037  0.000360 -0.000212 -0.075743  0.104293 -0.505469  0.853163
2001-348T04:11:03.000  0.001027  0.000358 -0.000214 -0.075223  0.104174 -0.505629  0.853129
2001-348T04:11:04.000  0.001030  0.000350 -0.000212 -0.074702  0.104054 -0.505789  0.853094
2001-348T04:11:05.000  0.001035  0.000352 -0.000225 -0.074182  0.103936 -0.505948  0.853060
2001-348T04:11:06.000  0.001024  0.000363 -0.000232 -0.073663  0.103818 -0.506107  0.853025
2001-348T04:11:07.000  0.001031  0.000360 -0.000217 -0.073140  0.103700 -0.506268  0.852989
2001-348T04:11:08.000  0.001057  0.000361 -0.000220 -0.072620  0.103581 -0.506428  0.852952
2001-348T04:11:09.000  0.001039  0.000349 -0.000213 -0.072100  0.103464 -0.506588  0.852916
2001-348T04:11:10.000  0.001041  0.000347 -0.000210 -0.071581  0.103347 -0.506749  0.852878
2001-348T04:11:11.000  0.001034  0.000371 -0.000211 -0.071059  0.103232 -0.506911  0.852839
2001-348T04:11:12.000  0.001024  0.000364 -0.000225 -0.070540  0.103116 -0.507072  0.852801
2001-348T04:11:13.000  0.001035  0.000353 -0.000237 -0.070017  0.102999 -0.507234  0.852762
2001-348T04:11:14.000  0.001035  0.000381 -0.000236 -0.069498  0.102886 -0.507395  0.852722
2001-348T04:11:15.000  0.001038  0.000371 -0.000224 -0.068976  0.102771 -0.507557  0.852682
2001-348T04:11:16.000  0.001037  0.000375 -0.000237 -0.068456  0.102657 -0.507719  0.852641
2001-348T04:11:17.000  0.001043  0.000363 -0.000228 -0.067936  0.102543 -0.507880  0.852600
2001-348T04:11:18.000  0.001040  0.000351 -0.000222 -0.067419  0.102432 -0.508041  0.852559
2001-348T04:11:19.000  0.001028  0.000383 -0.000225 -0.066893  0.102320 -0.508205  0.852516
2001-348T04:11:20.000  0.001033  0.000370 -0.000225 -0.066372  0.102209 -0.508368  0.852473
2001-348T04:11:21.000  0.001031  0.000381 -0.000224 -0.065878  0.102104 -0.508521  0.852433
2001-348T04:11:22.000  0.001030  0.000368 -0.000230 -0.065332  0.101988 -0.508692  0.852386
2001-348T04:11:23.000  0.001032  0.000373 -0.000234 -0.064809  0.101877 -0.508855  0.852342
2001-348T04:11:24.000  0.001020  0.000377 -0.000223 -0.064288  0.101769 -0.509017  0.852298
2001-348T04:11:25.000  0.001027  0.000377 -0.000228 -0.063767  0.101659 -0.509181  0.852252
2001-348T04:11:26.000  0.001039  0.000376 -0.000230 -0.063246  0.101550 -0.509344  0.852207
2001-348T04:11:27.000  0.001035  0.000381 -0.000215 -0.062724  0.101442 -0.509506  0.852161
2001-348T04:11:28.000  0.001033  0.000379 -0.000232 -0.062202  0.101335 -0.509669  0.852115
2001-348T04:11:29.000  0.001021  0.000375 -0.000224 -0.061678  0.101226 -0.509832  0.852068
2001-348T04:11:30.000  0.001052  0.000385 -0.000224 -0.061154  0.101119 -0.509996  0.852021
2001-348T04:11:31.000  0.001050  0.000377 -0.000232 -0.060630  0.101012 -0.510159  0.851973
2001-348T04:11:32.000  0.001039  0.000383 -0.000233 -0.060106  0.100905 -0.510320  0.851926
2001-348T04:11:33.000  0.001057  0.000392 -0.000234 -0.059581  0.100798 -0.510483  0.851878
2001-348T04:11:34.000  0.001042  0.000384 -0.000239 -0.059059  0.100692 -0.510645  0.851831
2001-348T04:11:35.000  0.001041  0.000383 -0.000237 -0.058528  0.100585 -0.510808  0.851782
2001-348T04:11:36.000  0.001035  0.000395 -0.000247 -0.058002  0.100480 -0.510970  0.851733
2001-348T04:11:37.000  0.001029  0.000396 -0.000245 -0.057475  0.100374 -0.511132  0.851684
2001-348T04:11:38.000  0.001038  0.000398 -0.000242 -0.056948  0.100268 -0.511294  0.851635
2001-348T04:11:39.000  0.001048  0.000387 -0.000225 -0.056419  0.100162 -0.511456  0.851585
2001-348T04:11:40.000  0.001028  0.000391 -0.000223 -0.055891  0.100057 -0.511617  0.851535
2001-348T04:11:41.000  0.001023  0.000386 -0.000221 -0.055362  0.099953 -0.511777  0.851486
2001-348T04:11:42.000  0.001037  0.000375 -0.000217 -0.054833  0.099848 -0.511937  0.851437
2001-348T04:11:43.000  0.001057  0.000393 -0.000212 -0.054302  0.099743 -0.512098  0.851386
