PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 742                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P124"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:36.78                                     
START_TIME                    = 2001-12-18T04:11:08.00Z                                    
STOP_TIME                     = 2001-12-18T04:22:51.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 704                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 124 of aerobraking at Mars.  The data comes from                       
  p124_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-352T04:11:08.000  0.001104  0.000019 -0.000095  0.167909 -0.132340  0.480235 -0.850686
2001-352T04:11:09.000  0.001106  0.000017 -0.000094  0.167436 -0.132076  0.480352 -0.850754
2001-352T04:11:10.000  0.001102  0.000030 -0.000109  0.166967 -0.131813  0.480470 -0.850821
2001-352T04:11:11.000  0.001097  0.000019 -0.000103  0.166496 -0.131549  0.480589 -0.850887
2001-352T04:11:12.000  0.001110  0.000026 -0.000097  0.166024 -0.131285  0.480706 -0.850953
2001-352T04:11:13.000  0.001108  0.000024 -0.000087  0.165552 -0.131021  0.480825 -0.851019
2001-352T04:11:14.000  0.001099  0.000028 -0.000095  0.165084 -0.130760  0.480941 -0.851085
2001-352T04:11:15.000  0.001119  0.000018 -0.000107  0.164614 -0.130496  0.481059 -0.851150
2001-352T04:11:16.000  0.001120  0.000018 -0.000105  0.164141 -0.130230  0.481178 -0.851214
2001-352T04:11:17.000  0.001113  0.000021 -0.000093  0.163671 -0.129967  0.481295 -0.851279
2001-352T04:11:18.000  0.001106  0.000025 -0.000093  0.163201 -0.129704  0.481413 -0.851342
2001-352T04:11:19.000  0.001117  0.000018 -0.000107  0.162728 -0.129439  0.481531 -0.851407
2001-352T04:11:20.000  0.001116  0.000044 -0.000101  0.162282 -0.129190  0.481642 -0.851467
2001-352T04:11:21.000  0.001113  0.000012 -0.000109  0.161789 -0.128912  0.481767 -0.851532
2001-352T04:11:22.000  0.001097  0.000024 -0.000108  0.161318 -0.128647  0.481887 -0.851594
2001-352T04:11:23.000  0.001103  0.000032 -0.000096  0.160848 -0.128383  0.482005 -0.851655
2001-352T04:11:24.000  0.001114  0.000030 -0.000113  0.160378 -0.128118  0.482124 -0.851716
2001-352T04:11:25.000  0.001114  0.000035 -0.000116  0.159906 -0.127854  0.482243 -0.851778
2001-352T04:11:26.000  0.001100  0.000017 -0.000108  0.159438 -0.127591  0.482361 -0.851838
2001-352T04:11:27.000  0.001100  0.000023 -0.000110  0.158969 -0.127326  0.482480 -0.851898
2001-352T04:11:28.000  0.001105  0.000036 -0.000120  0.158498 -0.127062  0.482600 -0.851957
2001-352T04:11:29.000  0.001099  0.000031 -0.000112  0.158027 -0.126797  0.482720 -0.852016
2001-352T04:11:30.000  0.001095  0.000044 -0.000103  0.157559 -0.126535  0.482837 -0.852075
2001-352T04:11:31.000  0.001094  0.000023 -0.000097  0.157087 -0.126269  0.482957 -0.852134
2001-352T04:11:32.000  0.001101  0.000020 -0.000103  0.156614 -0.126002  0.483076 -0.852193
2001-352T04:11:33.000  0.001103  0.000032 -0.000110  0.156145 -0.125738  0.483195 -0.852251
2001-352T04:11:34.000  0.001112  0.000022 -0.000112  0.155675 -0.125472  0.483314 -0.852308
2001-352T04:11:35.000  0.001098  0.000028 -0.000111  0.155203 -0.125207  0.483434 -0.852365
2001-352T04:11:36.000  0.001105  0.000023 -0.000115  0.154732 -0.124942  0.483554 -0.852422
2001-352T04:11:37.000  0.001100  0.000027 -0.000118  0.154261 -0.124676  0.483674 -0.852478
2001-352T04:11:38.000  0.001111  0.000030 -0.000113  0.153790 -0.124410  0.483795 -0.852533
2001-352T04:11:39.000  0.001109  0.000020 -0.000112  0.153321 -0.124145  0.483914 -0.852589
2001-352T04:11:40.000  0.001123  0.000015 -0.000116  0.152851 -0.123879  0.484033 -0.852644
2001-352T04:11:41.000  0.001113  0.000016 -0.000102  0.152378 -0.123612  0.484153 -0.852700
2001-352T04:11:42.000  0.001107  0.000015 -0.000112  0.151908 -0.123346  0.484273 -0.852754
2001-352T04:11:43.000  0.001103  0.000033 -0.000122  0.151439 -0.123081  0.484394 -0.852807
2001-352T04:11:44.000  0.001115  0.000031 -0.000122  0.150964 -0.122814  0.484515 -0.852861
2001-352T04:11:45.000  0.001105  0.000025 -0.000125  0.150495 -0.122547  0.484636 -0.852914
2001-352T04:11:46.000  0.001105  0.000033 -0.000115  0.150026 -0.122281  0.484755 -0.852966
2001-352T04:11:47.000  0.001119  0.000020 -0.000115  0.149552 -0.122013  0.484877 -0.853019
2001-352T04:11:48.000  0.001110  0.000024 -0.000123  0.149079 -0.121745  0.484998 -0.853071
2001-352T04:11:49.000  0.001105  0.000027 -0.000130  0.148609 -0.121479  0.485119 -0.853122
2001-352T04:11:50.000  0.001111  0.000032 -0.000119  0.148139 -0.121212  0.485240 -0.853173
2001-352T04:11:51.000  0.001103  0.000034 -0.000128  0.147665 -0.120945  0.485362 -0.853224
2001-352T04:11:52.000  0.001100  0.000014 -0.000144  0.147196 -0.120678  0.485484 -0.853273
2001-352T04:11:53.000  0.001108  0.000023 -0.000120  0.146724 -0.120411  0.485606 -0.853323
2001-352T04:11:54.000  0.001118  0.000033 -0.000130  0.146250 -0.120143  0.485728 -0.853373
2001-352T04:11:55.000  0.001106  0.000031 -0.000129  0.145780 -0.119876  0.485850 -0.853421
2001-352T04:11:56.000  0.001122  0.000036 -0.000133  0.145309 -0.119608  0.485971 -0.853470
2001-352T04:11:57.000  0.001113  0.000025 -0.000119  0.144836 -0.119340  0.486094 -0.853518
2001-352T04:11:58.000  0.001106  0.000026 -0.000132  0.144365 -0.119073  0.486216 -0.853565
2001-352T04:11:59.000  0.001116  0.000031 -0.000142  0.143894 -0.118805  0.486339 -0.853612
2001-352T04:11:60.000  0.001120  0.000027 -0.000126  0.143423 -0.118537  0.486461 -0.853659
2001-352T04:12:01.000  0.001119  0.000030 -0.000125  0.142948 -0.118267  0.486585 -0.853706
2001-352T04:12:02.000  0.001123  0.000021 -0.000132  0.142480 -0.118000  0.486707 -0.853752
2001-352T04:12:03.000  0.001112  0.000015 -0.000122  0.142006 -0.117730  0.486830 -0.853798
2001-352T04:12:04.000  0.001104  0.000024 -0.000129  0.141534 -0.117462  0.486953 -0.853843
2001-352T04:12:05.000  0.001109  0.000014 -0.000140  0.141064 -0.117194  0.487077 -0.853887
2001-352T04:12:06.000  0.001110  0.000028 -0.000138  0.140592 -0.116925  0.487200 -0.853931
2001-352T04:12:07.000  0.001104  0.000038 -0.000126  0.140119 -0.116656  0.487324 -0.853975
2001-352T04:12:08.000  0.001101  0.000009 -0.000124  0.139649 -0.116387  0.487447 -0.854018
2001-352T04:12:09.000  0.001117  0.000016 -0.000137  0.139176 -0.116118  0.487571 -0.854062
2001-352T04:12:10.000  0.001116  0.000006 -0.000137  0.138705 -0.115849  0.487694 -0.854105
2001-352T04:12:11.000  0.001122  0.000031 -0.000119  0.138231 -0.115580  0.487817 -0.854147
2001-352T04:12:12.000  0.001122  0.000034 -0.000132  0.137759 -0.115311  0.487942 -0.854189
2001-352T04:12:13.000  0.001118  0.000025 -0.000137  0.137285 -0.115040  0.488068 -0.854230
2001-352T04:12:14.000  0.001114  0.000021 -0.000139  0.136813 -0.114770  0.488191 -0.854271
2001-352T04:12:15.000  0.001120  0.000036 -0.000137  0.136340 -0.114501  0.488316 -0.854312
2001-352T04:12:16.000  0.001120  0.000024 -0.000136  0.135865 -0.114229  0.488440 -0.854353
2001-352T04:12:17.000  0.001105  0.000019 -0.000126  0.135392 -0.113958  0.488564 -0.854393
2001-352T04:12:18.000  0.001095  0.000026 -0.000137  0.134921 -0.113689  0.488688 -0.854433
2001-352T04:12:19.000  0.001118  0.000032 -0.000134  0.134445 -0.113418  0.488813 -0.854472
2001-352T04:12:20.000  0.001114  0.000033 -0.000139  0.133967 -0.113145  0.488939 -0.854512
2001-352T04:12:21.000  0.001098  0.000018 -0.000140  0.133495 -0.112874  0.489062 -0.854551
2001-352T04:12:22.000  0.001116  0.000025 -0.000144  0.133020 -0.112602  0.489187 -0.854589
2001-352T04:12:23.000  0.001124  0.000018 -0.000130  0.132543 -0.112328  0.489312 -0.854628
2001-352T04:12:24.000  0.001121  0.000008 -0.000137  0.132092 -0.112069  0.489430 -0.854664
2001-352T04:12:25.000  0.001132  0.000019 -0.000142  0.131590 -0.111782  0.489563 -0.854703
2001-352T04:12:26.000  0.001117  0.000017 -0.000142  0.131113 -0.111507  0.489689 -0.854740
2001-352T04:12:27.000  0.001124  0.000037 -0.000131  0.130636 -0.111234  0.489814 -0.854777
2001-352T04:12:28.000  0.001128  0.000028 -0.000143  0.130158 -0.110959  0.489941 -0.854813
2001-352T04:12:29.000  0.001122  0.000030 -0.000139  0.129679 -0.110684  0.490067 -0.854849
2001-352T04:12:30.000  0.001118  0.000023 -0.000140  0.129200 -0.110408  0.490193 -0.854885
2001-352T04:12:31.000  0.001113  0.000021 -0.000143  0.128723 -0.110135  0.490320 -0.854920
2001-352T04:12:32.000  0.001133  0.000037 -0.000151  0.128239 -0.109856  0.490446 -0.854955
2001-352T04:12:33.000  0.001134  0.000031 -0.000147  0.127759 -0.109579  0.490574 -0.854990
2001-352T04:12:34.000  0.001136  0.000025 -0.000142  0.127281 -0.109304  0.490700 -0.855024
2001-352T04:12:35.000  0.001137  0.000026 -0.000150  0.126799 -0.109026  0.490826 -0.855059
2001-352T04:12:36.000  0.001133  0.000036 -0.000143  0.126315 -0.108747  0.490952 -0.855093
2001-352T04:12:37.000  0.001116  0.000020 -0.000148  0.125834 -0.108470  0.491079 -0.855127
2001-352T04:12:38.000  0.001137  0.000019 -0.000141  0.125351 -0.108191  0.491205 -0.855161
2001-352T04:12:39.000  0.001137  0.000021 -0.000146  0.124866 -0.107911  0.491332 -0.855194
2001-352T04:12:40.000  0.001132  0.000013 -0.000148  0.124384 -0.107631  0.491459 -0.855227
2001-352T04:12:41.000  0.001132  0.000016 -0.000155  0.123898 -0.107351  0.491586 -0.855259
2001-352T04:12:42.000  0.001160  0.000012 -0.000149  0.123410 -0.107069  0.491714 -0.855292
2001-352T04:12:43.000  0.001159  0.000025 -0.000162  0.122924 -0.106786  0.491841 -0.855324
2001-352T04:12:44.000  0.001146  0.000032 -0.000158  0.122439 -0.106506  0.491970 -0.855354
2001-352T04:12:45.000  0.001153  0.000028 -0.000159  0.121951 -0.106223  0.492097 -0.855386
2001-352T04:12:46.000  0.001160  0.000024 -0.000159  0.121462 -0.105940  0.492224 -0.855418
2001-352T04:12:47.000  0.001154  0.000020 -0.000153  0.120973 -0.105656  0.492350 -0.855449
2001-352T04:12:48.000  0.001158  0.000012 -0.000156  0.120483 -0.105371  0.492477 -0.855481
2001-352T04:12:49.000  0.001171  0.000017 -0.000159  0.119989 -0.105085  0.492606 -0.855511
2001-352T04:12:50.000  0.001171  0.000006 -0.000155  0.119502 -0.104801  0.492732 -0.855542
2001-352T04:12:51.000  0.001170  0.000024 -0.000140  0.119005 -0.104513  0.492861 -0.855572
2001-352T04:12:52.000  0.001166  0.000024 -0.000153  0.118510 -0.104225  0.492989 -0.855602
2001-352T04:12:53.000  0.001162  0.000022 -0.000165  0.118014 -0.103938  0.493117 -0.855631
2001-352T04:12:54.000  0.001160  0.000010 -0.000173  0.117517 -0.103649  0.493245 -0.855661
2001-352T04:12:55.000  0.001165  0.000007 -0.000170  0.117015 -0.103357  0.493374 -0.855691
2001-352T04:12:56.000  0.001185  0.000021 -0.000161  0.116541 -0.103080  0.493495 -0.855719
2001-352T04:12:57.000  0.001190  0.000014 -0.000158  0.116010 -0.102770  0.493632 -0.855750
2001-352T04:12:58.000  0.001182  0.000024 -0.000150  0.115501 -0.102474  0.493761 -0.855779
2001-352T04:12:59.000  0.001203  0.000011 -0.000155  0.114992 -0.102176  0.493891 -0.855809
2001-352T04:12:60.000  0.001209  0.000014 -0.000156  0.114478 -0.101876  0.494020 -0.855839
2001-352T04:13:01.000  0.001218  0.000023 -0.000160  0.113960 -0.101574  0.494150 -0.855869
2001-352T04:13:02.000  0.001223  0.000028 -0.000159  0.113441 -0.101271  0.494280 -0.855898
2001-352T04:13:03.000  0.001227  0.000014 -0.000156  0.112920 -0.100965  0.494410 -0.855929
2001-352T04:13:04.000  0.001244  0.000013 -0.000160  0.112394 -0.100656  0.494541 -0.855958
2001-352T04:13:05.000  0.001237  0.000011 -0.000160  0.111867 -0.100347  0.494671 -0.855989
2001-352T04:13:06.000  0.001242  0.000014 -0.000148  0.111340 -0.100038  0.494802 -0.856018
2001-352T04:13:07.000  0.001237  0.000018 -0.000150  0.110808 -0.099725  0.494933 -0.856048
2001-352T04:13:08.000  0.001257  0.000015 -0.000139  0.110272 -0.099411  0.495065 -0.856077
2001-352T04:13:09.000  0.001259  0.000019 -0.000150  0.109737 -0.099096  0.495195 -0.856107
2001-352T04:13:10.000  0.001283  0.000017 -0.000158  0.109200 -0.098779  0.495326 -0.856137
2001-352T04:13:11.000  0.001274  0.000025 -0.000155  0.108656 -0.098459  0.495459 -0.856166
2001-352T04:13:12.000  0.001283  0.000018 -0.000172  0.108113 -0.098137  0.495591 -0.856195
