PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 808                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P162"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:46.95                                     
START_TIME                    = 2001-12-24T15:46:45.00Z                                    
STOP_TIME                     = 2001-12-24T15:59:34.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 770                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 162 of aerobraking at Mars.  The data comes from                       
  p162_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-358T15:47:30.000  0.001044 -0.000129 -0.000205  0.235930 -0.157865  0.464426 -0.838883
2001-358T15:47:31.000  0.001048 -0.000124 -0.000204  0.235533 -0.157541  0.464583 -0.838968
2001-358T15:47:32.000  0.001063 -0.000126 -0.000207  0.235136 -0.157216  0.464741 -0.839053
2001-358T15:47:33.000  0.001054 -0.000120 -0.000218  0.234740 -0.156891  0.464899 -0.839137
2001-358T15:47:34.000  0.001040 -0.000123 -0.000216  0.234345 -0.156565  0.465056 -0.839222
2001-358T15:47:35.000  0.001045 -0.000140 -0.000212  0.233949 -0.156238  0.465213 -0.839306
2001-358T15:47:36.000  0.001061 -0.000131 -0.000220  0.233553 -0.155912  0.465371 -0.839389
2001-358T15:47:37.000  0.001063 -0.000134 -0.000226  0.233158 -0.155584  0.465529 -0.839472
2001-358T15:47:38.000  0.001067 -0.000143 -0.000220  0.232763 -0.155256  0.465688 -0.839554
2001-358T15:47:39.000  0.001059 -0.000131 -0.000219  0.232367 -0.154928  0.465847 -0.839636
2001-358T15:47:40.000  0.001041 -0.000136 -0.000235  0.231971 -0.154598  0.466006 -0.839718
2001-358T15:47:41.000  0.001050 -0.000136 -0.000237  0.231575 -0.154269  0.466164 -0.839801
2001-358T15:47:42.000  0.001059 -0.000129 -0.000224  0.231180 -0.153939  0.466322 -0.839882
2001-358T15:47:43.000  0.001067 -0.000126 -0.000223  0.230785 -0.153609  0.466481 -0.839963
2001-358T15:47:44.000  0.001073 -0.000140 -0.000222  0.230390 -0.153277  0.466640 -0.840044
2001-358T15:47:45.000  0.001068 -0.000148 -0.000221  0.229995 -0.152945  0.466800 -0.840124
2001-358T15:47:46.000  0.001056 -0.000148 -0.000226  0.229601 -0.152612  0.466960 -0.840203
2001-358T15:47:47.000  0.001057 -0.000146 -0.000236  0.229207 -0.152280  0.467120 -0.840282
2001-358T15:47:48.000  0.001055 -0.000154 -0.000230  0.228812 -0.151945  0.467280 -0.840361
2001-358T15:47:49.000  0.001058 -0.000153 -0.000221  0.228418 -0.151611  0.467439 -0.840440
2001-358T15:47:50.000  0.001066 -0.000153 -0.000233  0.228034 -0.151284  0.467595 -0.840517
2001-358T15:47:51.000  0.001059 -0.000160 -0.000233  0.227630 -0.150939  0.467758 -0.840597
2001-358T15:47:52.000  0.001066 -0.000156 -0.000239  0.227236 -0.150603  0.467919 -0.840675
2001-358T15:47:53.000  0.001067 -0.000145 -0.000234  0.226842 -0.150266  0.468079 -0.840753
2001-358T15:47:54.000  0.001073 -0.000152 -0.000234  0.226449 -0.149930  0.468239 -0.840830
2001-358T15:47:55.000  0.001071 -0.000152 -0.000235  0.226055 -0.149593  0.468399 -0.840906
2001-358T15:47:56.000  0.001058 -0.000153 -0.000243  0.225659 -0.149253  0.468561 -0.840983
2001-358T15:47:57.000  0.001054 -0.000158 -0.000232  0.225265 -0.148912  0.468721 -0.841060
2001-358T15:47:58.000  0.001073 -0.000150 -0.000217  0.224870 -0.148571  0.468881 -0.841137
2001-358T15:47:59.000  0.001073 -0.000151 -0.000237  0.224473 -0.148230  0.469043 -0.841213
2001-358T15:47:60.000  0.001066 -0.000163 -0.000245  0.224080 -0.147888  0.469204 -0.841288
2001-358T15:48:01.000  0.001062 -0.000169 -0.000242  0.223684 -0.147545  0.469364 -0.841364
2001-358T15:48:02.000  0.001072 -0.000163 -0.000240  0.223286 -0.147200  0.469525 -0.841440
2001-358T15:48:03.000  0.001071 -0.000156 -0.000246  0.222888 -0.146855  0.469686 -0.841516
2001-358T15:48:04.000  0.001077 -0.000152 -0.000246  0.222490 -0.146509  0.469846 -0.841592
2001-358T15:48:05.000  0.001072 -0.000160 -0.000250  0.222090 -0.146160  0.470008 -0.841668
2001-358T15:48:06.000  0.001069 -0.000172 -0.000240  0.221692 -0.145812  0.470168 -0.841744
2001-358T15:48:07.000  0.001082 -0.000180 -0.000232  0.221291 -0.145462  0.470328 -0.841821
2001-358T15:48:08.000  0.001098 -0.000177 -0.000231  0.220888 -0.145111  0.470489 -0.841898
2001-358T15:48:09.000  0.001100 -0.000177 -0.000232  0.220485 -0.144759  0.470649 -0.841974
2001-358T15:48:10.000  0.001098 -0.000175 -0.000233  0.220082 -0.144406  0.470810 -0.842051
2001-358T15:48:11.000  0.001099 -0.000170 -0.000237  0.219676 -0.144051  0.470971 -0.842127
2001-358T15:48:12.000  0.001105 -0.000167 -0.000248  0.219269 -0.143694  0.471132 -0.842204
2001-358T15:48:13.000  0.001108 -0.000162 -0.000247  0.218862 -0.143338  0.471292 -0.842281
2001-358T15:48:14.000  0.001108 -0.000158 -0.000244  0.218454 -0.142979  0.471453 -0.842358
2001-358T15:48:15.000  0.001106 -0.000163 -0.000249  0.218046 -0.142620  0.471614 -0.842435
2001-358T15:48:16.000  0.001103 -0.000166 -0.000238  0.217637 -0.142260  0.471774 -0.842511
2001-358T15:48:17.000  0.001114 -0.000177 -0.000232  0.217227 -0.141899  0.471935 -0.842588
2001-358T15:48:18.000  0.001116 -0.000172 -0.000240  0.216817 -0.141536  0.472096 -0.842665
2001-358T15:48:19.000  0.001116 -0.000170 -0.000239  0.216406 -0.141173  0.472256 -0.842741
2001-358T15:48:20.000  0.001112 -0.000177 -0.000233  0.215996 -0.140810  0.472416 -0.842817
2001-358T15:48:21.000  0.001113 -0.000192 -0.000239  0.215584 -0.140445  0.472577 -0.842894
2001-358T15:48:22.000  0.001114 -0.000196 -0.000237  0.215184 -0.140088  0.472732 -0.842968
2001-358T15:48:23.000  0.001113 -0.000178 -0.000240  0.214760 -0.139712  0.472897 -0.843047
2001-358T15:48:24.000  0.001119 -0.000178 -0.000235  0.214347 -0.139345  0.473056 -0.843123
2001-358T15:48:25.000  0.001135 -0.000179 -0.000237  0.213934 -0.138977  0.473216 -0.843199
2001-358T15:48:26.000  0.001135 -0.000180 -0.000238  0.213523 -0.138609  0.473375 -0.843274
2001-358T15:48:27.000  0.001123 -0.000187 -0.000231  0.213110 -0.138239  0.473533 -0.843351
2001-358T15:48:28.000  0.001113 -0.000191 -0.000238  0.212693 -0.137866  0.473693 -0.843427
2001-358T15:48:29.000  0.001118 -0.000187 -0.000248  0.212277 -0.137495  0.473852 -0.843503
2001-358T15:48:30.000  0.001124 -0.000190 -0.000235  0.211862 -0.137123  0.474010 -0.843579
2001-358T15:48:31.000  0.001131 -0.000199 -0.000231  0.211446 -0.136749  0.474168 -0.843655
2001-358T15:48:32.000  0.001139 -0.000198 -0.000233  0.211029 -0.136374  0.474326 -0.843732
2001-358T15:48:33.000  0.001130 -0.000194 -0.000233  0.210611 -0.135997  0.474484 -0.843809
2001-358T15:48:34.000  0.001130 -0.000185 -0.000232  0.210191 -0.135620  0.474642 -0.843885
2001-358T15:48:35.000  0.001141 -0.000187 -0.000232  0.209772 -0.135242  0.474798 -0.843962
2001-358T15:48:36.000  0.001154 -0.000192 -0.000239  0.209349 -0.134861  0.474955 -0.844040
