NAC image,http://lroc.sese.asu.edu/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0032/DATA/ESM3/2017246/NAC/M1259058367LE.IMG,,,,
,,,,,
Crater name,Zi Wei,,,,
Crater diameter,450 <m>,,,,
,,,,,
Crater center,LAT,LON,,,
,44.12,-19.53,,,
,,,,,
Total count area ,2.9 <km^2>,,,,
,,,,,
BOULDER_DIAM_km,BOULDER_DIAM_m,LON,LAT,DISTANCE_m,DISTANCE_CRATER_RADII
0.003423082,3.423082488,-19.49420098,44.15338907,1277.223278,4.676547901
0.002833707,2.833707171,-19.49449378,44.15280542,1259.330633,4.597025038
0.003272307,3.272306807,-19.49545285,44.15225463,1233.360687,4.481603053
0.002375457,2.375456526,-19.4921138,44.15209033,1275.130984,4.66724882
0.00243289,2.432890374,-19.49376154,44.15339846,1283.300921,4.703559647
0.002818688,2.818687598,-19.49349219,44.1533922,1286.760533,4.7189357
0.002296563,2.296563039,-19.49351472,44.15298067,1276.665386,4.674068384
0.002391719,2.391719301,-19.49148006,44.15186187,1278.84967,4.68377631
0.002604645,2.604644508,-19.48566949,44.14802589,1285.408833,4.712928146
0.003011658,3.011657608,-19.49013518,44.15012265,1259.484851,4.597710448
0.00393799,3.937989962,-19.49168215,44.1497831,1228.964365,4.462063843
0.004155827,4.155827022,-19.49161764,44.14957969,1225.397874,4.446212774
0.007130902,7.13090187,-19.49117968,44.15001625,1241.577146,4.51812065
0.002739725,2.739725176,-19.49215842,44.15075794,1243.950356,4.528668251
0.003223162,3.223162287,-19.4923614,44.14848671,1190.174262,4.289663385
0.005554838,5.554837831,-19.49374921,44.14824652,1164.236184,4.174383038
0.005872504,5.872504348,-19.49366417,44.1506531,1220.090162,4.422622942
0.004342928,4.342928361,-19.49658767,44.15078767,1183.083076,4.258147005
0.006205235,6.205235241,-19.50157376,44.14942556,1085.516676,3.824518558
0.002233231,2.233231277,-19.50293258,44.15063824,1099.81145,3.888050888
