PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 669                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P086"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:26.55                                     
START_TIME                    = 2001-12-08T13:17:36.00Z                                    
STOP_TIME                     = 2001-12-08T13:28:06.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 631                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 086 of aerobraking at Mars.  The data comes from                       
  p086_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-342T13:17:36.000  0.001102  0.000138  0.000063 -0.068028  0.085133 -0.494192  0.862495
2001-342T13:17:37.000  0.001102  0.000142  0.000056 -0.067509  0.084920 -0.494220  0.862542
2001-342T13:17:38.000  0.001118  0.000166  0.000046 -0.066987  0.084706 -0.494246  0.862588
2001-342T13:17:39.000  0.001113  0.000142  0.000048 -0.066467  0.084495 -0.494273  0.862634
2001-342T13:17:40.000  0.001115  0.000146  0.000065 -0.065948  0.084284 -0.494299  0.862679
2001-342T13:17:41.000  0.001094  0.000143  0.000049 -0.065425  0.084071 -0.494327  0.862724
2001-342T13:17:42.000  0.001125  0.000139  0.000063 -0.064908  0.083860 -0.494352  0.862769
2001-342T13:17:43.000  0.001131  0.000140  0.000060 -0.064387  0.083650 -0.494379  0.862813
2001-342T13:17:44.000  0.001102  0.000138  0.000055 -0.063868  0.083438 -0.494406  0.862857
2001-342T13:17:45.000  0.001124  0.000127  0.000066 -0.063346  0.083228 -0.494432  0.862901
2001-342T13:17:46.000  0.001121  0.000151  0.000072 -0.062825  0.083019 -0.494458  0.862944
2001-342T13:17:47.000  0.001099  0.000136  0.000061 -0.062305  0.082809 -0.494485  0.862987
2001-342T13:17:48.000  0.001113  0.000160  0.000046 -0.061781  0.082600 -0.494511  0.863029
2001-342T13:17:49.000  0.001115  0.000150  0.000060 -0.061262  0.082392 -0.494538  0.863071
2001-342T13:17:50.000  0.001122  0.000168  0.000074 -0.060742  0.082184 -0.494563  0.863113
2001-342T13:17:51.000  0.001095  0.000146  0.000072 -0.060217  0.081975 -0.494589  0.863155
2001-342T13:17:52.000  0.001112  0.000153  0.000061 -0.059697  0.081768 -0.494615  0.863196
2001-342T13:17:53.000  0.001121  0.000157  0.000056 -0.059175  0.081561 -0.494640  0.863237
2001-342T13:17:54.000  0.001117  0.000148  0.000050 -0.058652  0.081352 -0.494665  0.863277
2001-342T13:17:55.000  0.001110  0.000151  0.000064 -0.058129  0.081146 -0.494689  0.863319
2001-342T13:17:56.000  0.001143  0.000149  0.000058 -0.057609  0.080940 -0.494715  0.863358
2001-342T13:17:57.000  0.001105  0.000172  0.000067 -0.057086  0.080735 -0.494742  0.863397
2001-342T13:17:58.000  0.001137  0.000179  0.000057 -0.056561  0.080529 -0.494767  0.863436
2001-342T13:17:59.000  0.001111  0.000158  0.000067 -0.056042  0.080324 -0.494791  0.863475
2001-342T13:18:00.000  0.001110  0.000147  0.000041 -0.055518  0.080119 -0.494816  0.863514
2001-342T13:18:01.000  0.001113  0.000165  0.000043 -0.054996  0.079914 -0.494840  0.863552
2001-342T13:18:02.000  0.001118  0.000167  0.000058 -0.054473  0.079710 -0.494864  0.863591
2001-342T13:18:03.000  0.001118  0.000163  0.000061 -0.053949  0.079506 -0.494888  0.863628
2001-342T13:18:04.000  0.001124  0.000170  0.000057 -0.053424  0.079302 -0.494912  0.863666
2001-342T13:18:05.000  0.001110  0.000178  0.000048 -0.052903  0.079101 -0.494937  0.863703
2001-342T13:18:06.000  0.001111  0.000149  0.000053 -0.052383  0.078898 -0.494960  0.863739
2001-342T13:18:07.000  0.001118  0.000160  0.000040 -0.051856  0.078695 -0.494984  0.863776
2001-342T13:18:08.000  0.001116  0.000160  0.000059 -0.051333  0.078493 -0.495007  0.863812
2001-342T13:18:09.000  0.001112  0.000179  0.000052 -0.050809  0.078291 -0.495031  0.863848
2001-342T13:18:10.000  0.001116  0.000146  0.000066 -0.050285  0.078088 -0.495053  0.863884
2001-342T13:18:11.000  0.001109  0.000188  0.000068 -0.049758  0.077888 -0.495077  0.863919
2001-342T13:18:12.000  0.001100  0.000174  0.000062 -0.049239  0.077688 -0.495100  0.863954
2001-342T13:18:13.000  0.001125  0.000170  0.000045 -0.048710  0.077485 -0.495124  0.863988
2001-342T13:18:14.000  0.001096  0.000167  0.000043 -0.048186  0.077286 -0.495148  0.864022
2001-342T13:18:15.000  0.001123  0.000184  0.000062 -0.047662  0.077087 -0.495171  0.864055
2001-342T13:18:16.000  0.001116  0.000167  0.000059 -0.047138  0.076886 -0.495194  0.864089
2001-342T13:18:17.000  0.001090  0.000157  0.000074 -0.046615  0.076687 -0.495216  0.864122
2001-342T13:18:18.000  0.001100  0.000186  0.000065 -0.046086  0.076488 -0.495238  0.864156
2001-342T13:18:19.000  0.001100  0.000166  0.000058 -0.045561  0.076288 -0.495261  0.864188
2001-342T13:18:20.000  0.001104  0.000179  0.000045 -0.045036  0.076090 -0.495284  0.864220
2001-342T13:18:21.000  0.001103  0.000169  0.000059 -0.044510  0.075891 -0.495306  0.864252
2001-342T13:18:22.000  0.001113  0.000172  0.000073 -0.043988  0.075695 -0.495328  0.864283
2001-342T13:18:23.000  0.001115  0.000180  0.000052 -0.043456  0.075494 -0.495351  0.864315
2001-342T13:18:24.000  0.001112  0.000185  0.000033 -0.042932  0.075298 -0.495373  0.864345
2001-342T13:18:25.000  0.001107  0.000175  0.000060 -0.042405  0.075102 -0.495396  0.864375
2001-342T13:18:26.000  0.001108  0.000178  0.000052 -0.041880  0.074904 -0.495418  0.864405
2001-342T13:18:27.000  0.001114  0.000195  0.000056 -0.041353  0.074710 -0.495440  0.864435
2001-342T13:18:28.000  0.001119  0.000184  0.000038 -0.040827  0.074514 -0.495462  0.864464
2001-342T13:18:29.000  0.001116  0.000175  0.000050 -0.040298  0.074317 -0.495484  0.864493
2001-342T13:18:30.000  0.001111  0.000180  0.000051 -0.039771  0.074122 -0.495506  0.864522
2001-342T13:18:31.000  0.001106  0.000185  0.000047 -0.039248  0.073928 -0.495528  0.864550
2001-342T13:18:32.000  0.001097  0.000178  0.000058 -0.038720  0.073733 -0.495549  0.864578
2001-342T13:18:33.000  0.001111  0.000170  0.000051 -0.038195  0.073539 -0.495571  0.864605
2001-342T13:18:34.000  0.001095  0.000180  0.000037 -0.037665  0.073344 -0.495594  0.864632
2001-342T13:18:35.000  0.001132  0.000189  0.000065 -0.037136  0.073150 -0.495614  0.864660
2001-342T13:18:36.000  0.001112  0.000181  0.000057 -0.036607  0.072954 -0.495636  0.864686
2001-342T13:18:37.000  0.001108  0.000187  0.000064 -0.036081  0.072763 -0.495658  0.864712
2001-342T13:18:38.000  0.001102  0.000189  0.000074 -0.035555  0.072571 -0.495680  0.864737
2001-342T13:18:39.000  0.001109  0.000175  0.000066 -0.035022  0.072375 -0.495700  0.864764
2001-342T13:18:40.000  0.001108  0.000179  0.000061 -0.034494  0.072184 -0.495722  0.864789
2001-342T13:18:41.000  0.001106  0.000186  0.000040 -0.033965  0.071992 -0.495744  0.864813
2001-342T13:18:42.000  0.001115  0.000185  0.000039 -0.033435  0.071799 -0.495766  0.864837
2001-342T13:18:43.000  0.001118  0.000199  0.000048 -0.032903  0.071605 -0.495788  0.864861
2001-342T13:18:44.000  0.001103  0.000192  0.000053 -0.032376  0.071414 -0.495810  0.864884
2001-342T13:18:45.000  0.001116  0.000177  0.000055 -0.031842  0.071222 -0.495832  0.864907
2001-342T13:18:46.000  0.001097  0.000172  0.000058 -0.031311  0.071030 -0.495854  0.864930
2001-342T13:18:47.000  0.001111  0.000213  0.000051 -0.030782  0.070840 -0.495875  0.864952
2001-342T13:18:48.000  0.001088  0.000182  0.000045 -0.030252  0.070648 -0.495896  0.864975
2001-342T13:18:49.000  0.001117  0.000185  0.000028 -0.029722  0.070458 -0.495918  0.864996
2001-342T13:18:50.000  0.001105  0.000209  0.000044 -0.029188  0.070267 -0.495940  0.865017
2001-342T13:18:51.000  0.001108  0.000197  0.000045 -0.028657  0.070078 -0.495960  0.865038
2001-342T13:18:52.000  0.001118  0.000214  0.000054 -0.028123  0.069889 -0.495983  0.865058
2001-342T13:18:53.000  0.001106  0.000199  0.000042 -0.027590  0.069698 -0.496004  0.865078
2001-342T13:18:54.000  0.001102  0.000203  0.000054 -0.027060  0.069509 -0.496026  0.865098
2001-342T13:18:55.000  0.001123  0.000196  0.000044 -0.026522  0.069318 -0.496048  0.865117
2001-342T13:18:56.000  0.001115  0.000195  0.000053 -0.025991  0.069129 -0.496069  0.865136
2001-342T13:18:57.000  0.001113  0.000212  0.000041 -0.025457  0.068940 -0.496091  0.865155
2001-342T13:18:58.000  0.001108  0.000194  0.000039 -0.024921  0.068751 -0.496113  0.865173
2001-342T13:18:59.000  0.001123  0.000192  0.000038 -0.024386  0.068562 -0.496134  0.865191
2001-342T13:19:00.000  0.001097  0.000205  0.000047 -0.023853  0.068375 -0.496156  0.865208
2001-342T13:19:01.000  0.001102  0.000213  0.000043 -0.023316  0.068186 -0.496178  0.865225
2001-342T13:19:02.000  0.001136  0.000215  0.000056 -0.022780  0.067997 -0.496200  0.865241
2001-342T13:19:03.000  0.001122  0.000208  0.000047 -0.022246  0.067809 -0.496223  0.865257
2001-342T13:19:04.000  0.001117  0.000213  0.000038 -0.021709  0.067622 -0.496245  0.865273
2001-342T13:19:05.000  0.001135  0.000213  0.000039 -0.021174  0.067434 -0.496267  0.865288
2001-342T13:19:06.000  0.001129  0.000202  0.000044 -0.020634  0.067246 -0.496288  0.865304
2001-342T13:19:07.000  0.001113  0.000203  0.000046 -0.020095  0.067058 -0.496311  0.865318
2001-342T13:19:08.000  0.001121  0.000211  0.000040 -0.019555  0.066869 -0.496333  0.865332
2001-342T13:19:09.000  0.001113  0.000199  0.000039 -0.019016  0.066680 -0.496355  0.865346
