PDS_VERSION_ID                = PDS3                                          
                                                                              
RECORD_TYPE                   = FIXED_LENGTH                                  
RECORD_BYTES                  = 80                                            
FILE_RECORDS                  = 809                                           
LABEL_RECORDS                 = 42                                            
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,3(1X,F11.8))"  
^TABLE                        = 44                                            
PRODUCT_ID                    = "ACCELEROMETER_DATA_P164"                     
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                           
INSTRUMENT_NAME               = "ACCELEROMETER"                               
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                
TARGET_NAME                   = MARS                                          
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:47.31                        
START_TIME                    = 2001-12-24T22:54:16.00Z                       
STOP_TIME                     = 2001-12-24T23:07:01.00Z                       
                                                                              
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                      
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                      
                                                                              
OBJECT                        = TABLE                                         
 ROWS                         = 766                                           
 ROW_BYTES                    = 80                                            
 INTERCHANGE_FORMAT           = ASCII                                         
 COLUMNS                      = 4                                             
 ^STRUCTURE                   = "ACCEL.FMT"                                   
 DESCRIPTION                  = "                                             
  The data in this file are the 1 second accelerometer data from Mars Odyssey 
  for orbit 164 of aerobraking at Mars.  The data comes from telemetry file   
  p164_accel_raw1_1hz.drf which is converted from a higher sample rate        
  to 1 second acceleration by the GDS. The sample rate changed twice during   
  the mission (TOLSONETAL2005) which changed the noise level on the 1 sec data
  The data is also adjusted for angular motion due to the offset              
  of the IMU from the center of mass and interpolated to the same time stamps 
  as the rate and quaternion data.                                            
                                                                              
  Robert H. Tolson                                                            
  03-Nov-2007                                                                 
  "                                                                           
                                                                              
END_OBJECT                    = TABLE                                         
END                                                                           
                                                                              
2001-358T22:55:09.000  0.00032532 -0.00026842 -0.00009138                     
2001-358T22:55:10.000  0.00037270 -0.00031997 -0.00022807                     
2001-358T22:55:11.000  0.00012608  0.00041188 -0.00071574                     
2001-358T22:55:12.000  0.00008106  0.00069018 -0.00042240                     
2001-358T22:55:13.000 -0.00005307 -0.00001214 -0.00003401                     
2001-358T22:55:14.000  0.00015156 -0.00012518  0.00049162                     
2001-358T22:55:15.000 -0.00003970 -0.00014694  0.00033818                     
2001-358T22:55:16.000 -0.00043337  0.00045719 -0.00073520                     
2001-358T22:55:17.000 -0.00016453  0.00066151 -0.00033864                     
2001-358T22:55:18.000 -0.00002796 -0.00005076  0.00049235                     
2001-358T22:55:19.000 -0.00004711 -0.00025357  0.00078530                     
2001-358T22:55:20.000 -0.00050126 -0.00002616 -0.00014986                     
2001-358T22:55:21.000 -0.00043524  0.00088708 -0.00076544                     
2001-358T22:55:22.000 -0.00065257  0.00029832  0.00006825                     
2001-358T22:55:23.000  0.00002326  0.00031890  0.00034965                     
2001-358T22:55:24.000 -0.00019986 -0.00022043 -0.00034768                     
2001-358T22:55:25.000 -0.00013111 -0.00013971  0.00009315                     
2001-358T22:55:26.000 -0.00081709  0.00023875 -0.00027825                     
2001-358T22:55:27.000 -0.00001843  0.00030167 -0.00024996                     
2001-358T22:55:28.000  0.00043966 -0.00011149 -0.00000010                     
2001-358T22:55:29.000  0.00036317 -0.00020422 -0.00011420                     
2001-358T22:55:30.000  0.00038054 -0.00021540 -0.00045624                     
2001-358T22:55:31.000  0.00002041  0.00058338 -0.00056034                     
2001-358T22:55:32.000 -0.00050516  0.00018499 -0.00005929                     
2001-358T22:55:33.000 -0.00012098 -0.00032526  0.00001262                     
2001-358T22:55:34.000  0.00012896 -0.00039910 -0.00003297                     
