PDS_VERSION_ID          = PDS3                                                
                                                                              
RECORD_TYPE             = FIXED_LENGTH                                        
RECORD_BYTES            = 80                                                  
FILE_RECORDS            = 859                                                 
LABEL_RECORDS           = 42                                                  
RECORD_FORMAT           = "F7.1,1X,F5.1,1X,F6.1,1X,F4.1,1X,F5.1,1X,F6.2,1X,   
                           F7.3,1X,F6.3,1X)"                                  
^TABLE                  = 43                                                  
PRODUCT_ID              = "ORBIT_PROFILE_L2P219"                              
INSTRUMENT_HOST_NAME    = "2001 MARS ODYSSEY"                                 
INSTRUMENT_NAME         = ACCELEROMETER                                       
DATA_SET_ID             = "ODY-M-ACCEL-5-PROFILE-V2.0"                        
TARGET_NAME               = MARS                                              
PRODUCT_CREATION_TIME         = 2007-10-28T10:59:23.16                        
START_TIME                    = 2001-12-31T20:41:57.00Z                       
STOP_TIME                     = 2001-12-31T20:55:33.00Z                       
                                                                              
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                      
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                      
                                                                              
OBJECT                  = TABLE                                               
 ROWS                   = 817                                                 
 ROW_BYTES              = 80                                                  
 INTERCHANGE_FORMAT     = ASCII                                               
 COLUMNS                = 8                                                   
 ^STRUCTURE             = "PROFILE.FMT"                                       
 DESCRIPTION            = "                                                   
  This table contains Level 2 density data at 1 second resolution for         
  orbit 219 during aerobraking. The data included are time from               
  periapsis (sec), latitude (deg), longitude (deg), LST (hr),                 
  SZA (deg), altitude (km), density (kg/km**3) and density sigma.             
  Density sigma is based on noise plus 1 percent bias. The data               
  covers 60 seconds before and after an altitude of 170 km.                   
                                                                              
  Robert H. Tolson                                                            
  28-Oct-2007                                                                 
  "                                                                           
                                                                              
END_OBJECT              = TABLE                                               
END                                                                           
                                                                              
 -455.6  37.6  255.8  3.0 138.7 182.38   0.202  0.639                         
 -454.6  37.7  255.8  2.9 138.7 182.04  -0.991  0.647                         
 -453.6  37.7  255.8  2.9 138.7 181.70   0.536  0.642                         
 -452.6  37.8  255.8  2.9 138.7 181.36   0.224  0.639                         
 -451.6  37.8  255.8  2.9 138.7 181.03   0.714  0.644                         
 -450.6  37.9  255.8  2.9 138.7 180.69  -1.031  0.647                         
 -449.6  38.0  255.8  2.9 138.7 180.35   0.079  0.638                         
 -448.6  38.0  255.8  2.9 138.7 180.02  -0.598  0.643                         
 -447.6  38.1  255.7  2.9 138.7 179.68   0.827  0.645                         
 -446.6  38.1  255.7  2.9 138.7 179.35   0.365  0.641                         
 -445.6  38.2  255.7  2.9 138.7 179.02  -0.146  0.638                         
 -444.6  38.3  255.7  2.9 138.7 178.69  -1.039  0.647                         
 -443.6  38.3  255.7  2.9 138.7 178.36   0.067  0.638                         
 -442.6  38.4  255.7  2.9 138.7 178.03   0.344  0.640                         
 -441.6  38.4  255.7  2.9 138.6 177.70   0.667  0.644                         
 -440.6  38.5  255.7  2.9 138.6 177.37  -0.555  0.643                         
 -439.6  38.6  255.7  2.9 138.6 177.04  -1.034  0.647                         
 -438.6  38.6  255.6  2.9 138.6 176.71  -0.407  0.641                         
 -437.6  38.7  255.6  2.9 138.6 176.38   0.631  0.643                         
 -436.6  38.8  255.6  2.9 138.6 176.06   0.707  0.644                         
 -435.6  38.8  255.6  2.9 138.6 175.73   0.048  0.637                         
 -434.6  38.9  255.6  2.9 138.6 175.41  -0.538  0.642                         
 -433.6  38.9  255.6  2.9 138.6 175.08  -0.130  0.638                         
 -432.6  39.0  255.6  2.9 138.6 174.76   0.762  0.645                         
 -431.6  39.1  255.6  2.9 138.6 174.44  -0.244  0.639                         
 -430.6  39.1  255.6  2.9 138.6 174.12   0.361  0.641                         
 -429.6  39.2  255.6  2.9 138.6 173.80  -0.842  0.645                         
 -428.6  39.2  255.5  2.9 138.6 173.47  -0.112  0.638                         
 -427.6  39.3  255.5  2.9 138.5 173.16   0.234  0.639                         
 -426.6  39.4  255.5  2.9 138.5 172.84   0.673  0.644                         
 -425.6  39.4  255.5  2.9 138.5 172.52  -0.354  0.641                         
 -424.6  39.5  255.5  2.9 138.5 172.20  -0.284  0.640                         
 -423.6  39.5  255.5  2.9 138.5 171.88  -0.618  0.643                         
 -422.6  39.6  255.5  2.9 138.5 171.57   0.723  0.644                         
 -421.6  39.7  255.5  2.9 138.5 171.25   0.188  0.639                         
 -420.6  39.7  255.5  2.9 138.5 170.94   0.444  0.641                         
 -419.6  39.8  255.4  2.9 138.5 170.62  -0.643  0.643                         
 -418.6  39.9  255.4  2.9 138.5 170.31  -0.291  0.640                         
 -417.6  39.9  255.4  2.9 138.5 170.00  -0.126  0.638                         
 -416.6  40.0  255.4  2.9 138.5 169.69   1.001  0.647                         
 -415.6  40.0  255.4  2.9 138.4 169.38  -0.200  0.639                         
 -414.6  40.1  255.4  2.9 138.4 169.07  -0.421  0.641                         
 -413.6  40.2  255.4  2.9 138.4 168.76  -0.420  0.641                         
 -412.6  40.2  255.4  2.9 138.4 168.45   0.509  0.642                         
 -411.6  40.3  255.4  2.9 138.4 168.14   0.305  0.640                         
 -410.6  40.3  255.4  2.9 138.4 167.83   0.362  0.641                         
 -409.6  40.4  255.3  2.9 138.4 167.53  -0.545  0.642                         
 -408.6  40.5  255.3  2.9 138.4 167.22  -0.376  0.641                         
 -407.6  40.5  255.3  2.9 138.4 166.92   0.355  0.641                         
 -406.6  40.6  255.3  2.9 138.4 166.61   0.187  0.639                         
 -405.6  40.7  255.3  2.9 138.4 166.31   0.547  0.642                         
