PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 811                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P165"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:47.73                                     
START_TIME                    = 2001-12-25T02:26:18.00Z                                    
STOP_TIME                     = 2001-12-25T02:39:10.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 773                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 165 of aerobraking at Mars.  The data comes from                       
  p165_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-359T02:26:18.000  0.001036 -0.000166 -0.000162 -0.240268  0.158738 -0.461433  0.839138
2001-359T02:26:19.000  0.001044 -0.000165 -0.000160 -0.239888  0.158418 -0.461566  0.839234
2001-359T02:26:20.000  0.001039 -0.000153 -0.000169 -0.239500  0.158090 -0.461702  0.839332
2001-359T02:26:21.000  0.001039 -0.000145 -0.000168 -0.239118  0.157768 -0.461837  0.839428
2001-359T02:26:22.000  0.001036 -0.000167 -0.000168 -0.238736  0.157442 -0.461972  0.839523
2001-359T02:26:23.000  0.001025 -0.000145 -0.000176 -0.238352  0.157117 -0.462108  0.839618
2001-359T02:26:24.000  0.001022 -0.000157 -0.000153 -0.237972  0.156792 -0.462242  0.839713
2001-359T02:26:25.000  0.001052 -0.000167 -0.000181 -0.237589  0.156463 -0.462379  0.839807
2001-359T02:26:26.000  0.001034 -0.000156 -0.000174 -0.237210  0.156138 -0.462513  0.839901
2001-359T02:26:27.000  0.001029 -0.000171 -0.000181 -0.236828  0.155810 -0.462649  0.839995
2001-359T02:26:28.000  0.001021 -0.000163 -0.000189 -0.236446  0.155482 -0.462783  0.840090
2001-359T02:26:29.000  0.001038 -0.000164 -0.000162 -0.236069  0.155156 -0.462916  0.840183
2001-359T02:26:30.000  0.001037 -0.000170 -0.000176 -0.235686  0.154825 -0.463052  0.840276
2001-359T02:26:31.000  0.001034 -0.000163 -0.000177 -0.235309  0.154499 -0.463186  0.840368
2001-359T02:26:32.000  0.001025 -0.000164 -0.000174 -0.234926  0.154166 -0.463322  0.840461
2001-359T02:26:33.000  0.001025 -0.000173 -0.000178 -0.234548  0.153836 -0.463457  0.840553
2001-359T02:26:34.000  0.001018 -0.000173 -0.000196 -0.234173  0.153508 -0.463591  0.840644
2001-359T02:26:35.000  0.001018 -0.000181 -0.000190 -0.233792  0.153174 -0.463727  0.840736
2001-359T02:26:36.000  0.001028 -0.000174 -0.000198 -0.233413  0.152842 -0.463862  0.840827
2001-359T02:26:37.000  0.001043 -0.000170 -0.000169 -0.233036  0.152510 -0.463997  0.840917
2001-359T02:26:38.000  0.001020 -0.000177 -0.000181 -0.232661  0.152178 -0.464131  0.841007
2001-359T02:26:39.000  0.001026 -0.000167 -0.000191 -0.232286  0.151848 -0.464265  0.841096
2001-359T02:26:40.000  0.001025 -0.000182 -0.000158 -0.231906  0.151511 -0.464403  0.841186
2001-359T02:26:41.000  0.001034 -0.000176 -0.000188 -0.231531  0.151177 -0.464537  0.841275
2001-359T02:26:42.000  0.001031 -0.000187 -0.000194 -0.231157  0.150844 -0.464672  0.841364
2001-359T02:26:43.000  0.001044 -0.000187 -0.000197 -0.230780  0.150507 -0.464807  0.841453
2001-359T02:26:44.000  0.001036 -0.000186 -0.000192 -0.230406  0.150173 -0.464942  0.841540
2001-359T02:26:45.000  0.001034 -0.000161 -0.000176 -0.230029  0.149836 -0.465078  0.841628
2001-359T02:26:46.000  0.001042 -0.000182 -0.000192 -0.229657  0.149502 -0.465212  0.841715
2001-359T02:26:47.000  0.001028 -0.000184 -0.000194 -0.229282  0.149161 -0.465350  0.841802
2001-359T02:26:48.000  0.001032 -0.000177 -0.000197 -0.228906  0.148822 -0.465486  0.841889
2001-359T02:26:49.000  0.001020 -0.000177 -0.000192 -0.228535  0.148486 -0.465620  0.841974
2001-359T02:26:50.000  0.001020 -0.000212 -0.000203 -0.228160  0.148145 -0.465756  0.842061
2001-359T02:26:51.000  0.001016 -0.000194 -0.000184 -0.227788  0.147807 -0.465892  0.842146
2001-359T02:26:52.000  0.001024 -0.000186 -0.000190 -0.227415  0.147467 -0.466028  0.842232
2001-359T02:26:53.000  0.001028 -0.000194 -0.000182 -0.227043  0.147125 -0.466162  0.842317
2001-359T02:26:54.000  0.001018 -0.000182 -0.000196 -0.226674  0.146788 -0.466297  0.842401
2001-359T02:26:55.000  0.001025 -0.000185 -0.000200 -0.226300  0.146444 -0.466434  0.842486
2001-359T02:26:56.000  0.001013 -0.000193 -0.000204 -0.225928  0.146101 -0.466570  0.842570
2001-359T02:26:57.000  0.001020 -0.000196 -0.000181 -0.225558  0.145761 -0.466705  0.842653
2001-359T02:26:58.000  0.001024 -0.000178 -0.000203 -0.225188  0.145420 -0.466840  0.842736
2001-359T02:26:59.000  0.001025 -0.000182 -0.000197 -0.224817  0.145076 -0.466974  0.842820
2001-359T02:26:60.000  0.001019 -0.000189 -0.000193 -0.224444  0.144729 -0.467111  0.842903
2001-359T02:27:01.000  0.001033 -0.000196 -0.000190 -0.224074  0.144385 -0.467246  0.842986
2001-359T02:27:02.000  0.001030 -0.000197 -0.000200 -0.223703  0.144039 -0.467381  0.843068
2001-359T02:27:03.000  0.001033 -0.000201 -0.000195 -0.223336  0.143696 -0.467515  0.843150
2001-359T02:27:04.000  0.001012 -0.000203 -0.000212 -0.222967  0.143350 -0.467650  0.843232
2001-359T02:27:05.000  0.001018 -0.000212 -0.000195 -0.222595  0.143001 -0.467785  0.843314
2001-359T02:27:06.000  0.001016 -0.000215 -0.000211 -0.222227  0.142654 -0.467922  0.843395
2001-359T02:27:07.000  0.001032 -0.000198 -0.000201 -0.221858  0.142307 -0.468057  0.843475
2001-359T02:27:08.000  0.001036 -0.000207 -0.000200 -0.221489  0.141958 -0.468193  0.843555
2001-359T02:27:09.000  0.001033 -0.000211 -0.000206 -0.221125  0.141612 -0.468327  0.843635
2001-359T02:27:10.000  0.001017 -0.000209 -0.000198 -0.220753  0.141261 -0.468462  0.843716
2001-359T02:27:11.000  0.001025 -0.000189 -0.000198 -0.220384  0.140910 -0.468599  0.843795
2001-359T02:27:12.000  0.001004 -0.000203 -0.000198 -0.220016  0.140561 -0.468734  0.843874
2001-359T02:27:13.000  0.001018 -0.000214 -0.000212 -0.219652  0.140211 -0.468871  0.843952
2001-359T02:27:14.000  0.001010 -0.000207 -0.000214 -0.219287  0.139862 -0.469004  0.844030
2001-359T02:27:15.000  0.001019 -0.000229 -0.000215 -0.218917  0.139506 -0.469141  0.844109
2001-359T02:27:16.000  0.001016 -0.000212 -0.000213 -0.218550  0.139153 -0.469277  0.844187
2001-359T02:27:17.000  0.001023 -0.000211 -0.000205 -0.218186  0.138801 -0.469412  0.844264
2001-359T02:27:18.000  0.001023 -0.000221 -0.000212 -0.217820  0.138447 -0.469548  0.844341
2001-359T02:27:19.000  0.001008 -0.000223 -0.000202 -0.217460  0.138098 -0.469682  0.844416
2001-359T02:27:20.000  0.001023 -0.000219 -0.000212 -0.217091  0.137738 -0.469820  0.844493
2001-359T02:27:21.000  0.001026 -0.000206 -0.000207 -0.216726  0.137384 -0.469955  0.844570
2001-359T02:27:22.000  0.001021 -0.000214 -0.000217 -0.216362  0.137029 -0.470091  0.844645
2001-359T02:27:23.000  0.001027 -0.000231 -0.000234 -0.215998  0.136674 -0.470226  0.844720
2001-359T02:27:24.000  0.001013 -0.000219 -0.000215 -0.215636  0.136319 -0.470362  0.844794
2001-359T02:27:25.000  0.001031 -0.000216 -0.000218 -0.215270  0.135961 -0.470499  0.844869
2001-359T02:27:26.000  0.001020 -0.000218 -0.000201 -0.214907  0.135604 -0.470634  0.844944
2001-359T02:27:27.000  0.001000 -0.000217 -0.000208 -0.214545  0.135245 -0.470771  0.845017
2001-359T02:27:28.000  0.001027 -0.000215 -0.000228 -0.214181  0.134886 -0.470907  0.845091
2001-359T02:27:29.000  0.001027 -0.000249 -0.000230 -0.213822  0.134528 -0.471042  0.845163
2001-359T02:27:30.000  0.001022 -0.000234 -0.000208 -0.213460  0.134168 -0.471178  0.845237
2001-359T02:27:31.000  0.001018 -0.000229 -0.000212 -0.213098  0.133806 -0.471316  0.845308
2001-359T02:27:32.000  0.001004 -0.000213 -0.000208 -0.212735  0.133445 -0.471452  0.845381
2001-359T02:27:33.000  0.001004 -0.000235 -0.000219 -0.212376  0.133085 -0.471589  0.845452
2001-359T02:27:34.000  0.001015 -0.000225 -0.000215 -0.212015  0.132724 -0.471725  0.845524
2001-359T02:27:35.000  0.001018 -0.000237 -0.000234 -0.211657  0.132363 -0.471860  0.845594
2001-359T02:27:36.000  0.001018 -0.000246 -0.000213 -0.211294  0.131996 -0.471997  0.845666
2001-359T02:27:37.000  0.001012 -0.000230 -0.000218 -0.210935  0.131633 -0.472134  0.845736
2001-359T02:27:38.000  0.000999 -0.000225 -0.000211 -0.210576  0.131270 -0.472270  0.845806
2001-359T02:27:39.000  0.001014 -0.000236 -0.000207 -0.210220  0.130910 -0.472405  0.845874
2001-359T02:27:40.000  0.001030 -0.000228 -0.000223 -0.209858  0.130541 -0.472544  0.845944
2001-359T02:27:41.000  0.001020 -0.000240 -0.000230 -0.209500  0.130176 -0.472680  0.846013
2001-359T02:27:42.000  0.001023 -0.000247 -0.000216 -0.209143  0.129810 -0.472816  0.846081
2001-359T02:27:43.000  0.000995 -0.000230 -0.000220 -0.208786  0.129445 -0.472952  0.846149
2001-359T02:27:44.000  0.001013 -0.000250 -0.000228 -0.208429  0.129078 -0.473089  0.846217
2001-359T02:27:45.000  0.001010 -0.000250 -0.000230 -0.208071  0.128710 -0.473226  0.846285
2001-359T02:27:46.000  0.001026 -0.000260 -0.000226 -0.207715  0.128343 -0.473362  0.846351
2001-359T02:27:47.000  0.001019 -0.000237 -0.000214 -0.207355  0.127974 -0.473498  0.846419
2001-359T02:27:48.000  0.001004 -0.000254 -0.000220 -0.206998  0.127603 -0.473635  0.846486
2001-359T02:27:49.000  0.001022 -0.000254 -0.000238 -0.206645  0.127236 -0.473770  0.846552
2001-359T02:27:50.000  0.001021 -0.000260 -0.000227 -0.206289  0.126866 -0.473906  0.846619
2001-359T02:27:51.000  0.001016 -0.000250 -0.000237 -0.205930  0.126493 -0.474043  0.846685
2001-359T02:27:52.000  0.001034 -0.000266 -0.000235 -0.205569  0.126116 -0.474181  0.846752
