PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 640                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P071"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:22.66                                     
START_TIME                    = 2001-12-03T09:45:29.00Z                                    
STOP_TIME                     = 2001-12-03T09:55:30.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 602                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 071 of aerobraking at Mars.  The data comes from                       
  p071_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-337T09:45:29.000  0.001104  0.000269  0.000083 -0.061311  0.087267 -0.497129  0.861097
2001-337T09:45:30.000  0.001102  0.000259  0.000093 -0.060770  0.087108 -0.497151  0.861139
2001-337T09:45:31.000  0.001111  0.000278  0.000095 -0.060228  0.086952 -0.497172  0.861180
2001-337T09:45:32.000  0.001096  0.000278  0.000084 -0.059688  0.086797 -0.497194  0.861221
2001-337T09:45:33.000  0.001090  0.000268  0.000083 -0.059142  0.086641 -0.497216  0.861262
2001-337T09:45:34.000  0.001089  0.000263  0.000092 -0.058604  0.086488 -0.497236  0.861302
2001-337T09:45:35.000  0.001095  0.000280  0.000086 -0.058063  0.086335 -0.497258  0.861342
2001-337T09:45:36.000  0.001082  0.000278  0.000068 -0.057519  0.086182 -0.497280  0.861381
2001-337T09:45:37.000  0.001102  0.000281  0.000084 -0.056974  0.086029 -0.497301  0.861420
2001-337T09:45:38.000  0.001091  0.000289  0.000074 -0.056433  0.085877 -0.497322  0.861459
2001-337T09:45:39.000  0.001101  0.000290  0.000097 -0.055886  0.085725 -0.497341  0.861498
2001-337T09:45:40.000  0.001099  0.000284  0.000082 -0.055349  0.085578 -0.497362  0.861536
2001-337T09:45:41.000  0.001084  0.000275  0.000065 -0.054803  0.085428 -0.497383  0.861574
2001-337T09:45:42.000  0.001094  0.000282  0.000077 -0.054260  0.085280 -0.497403  0.861611
2001-337T09:45:43.000  0.001092  0.000282  0.000076 -0.053713  0.085131 -0.497423  0.861648
2001-337T09:45:44.000  0.001072  0.000278  0.000072 -0.053174  0.084986 -0.497443  0.861685
