PDS_VERSION_ID                = PDS3                                                       
                                                                                           
RECORD_TYPE                   = FIXED_LENGTH                                               
RECORD_BYTES                  = 93                                                         
FILE_RECORDS                  = 766                                                        
LABEL_RECORDS                 = 37                                                         
RECORD_FORMAT                 = "(I4,1X,I3,1X,I2,1X,I2,1X,F6.3,7(1X,F9.6))"                
^TABLE                        = 39                                                         
PRODUCT_ID                    = "RATES_AND_QUATERNIONS_P134"                               
INSTRUMENT_HOST_NAME          = "2001 MARS ODYSSEY"                                        
INSTRUMENT_NAME               = "ACCELEROMETER"                                            
DATA_SET_ID                   = "ODY-M-ACCEL-2-ACCELDATA-V2.0"                             
TARGET_NAME                   = MARS                                                       
PRODUCT_CREATION_TIME         = 2007-11-03T10:00:39.45                                     
START_TIME                    = 2001-12-20T02:10:54.00Z                                    
STOP_TIME                     = 2001-12-20T02:23:01.00Z                                    
                                                                                           
SPACECRAFT_CLOCK_START_COUNT     = "UNK"                                                   
SPACECRAFT_CLOCK_STOP_COUNT      = "UNK"                                                   
                                                                                           
OBJECT                        = TABLE                                                      
 ROWS                         = 728                                                        
 ROW_BYTES                    = 93                                                         
 INTERCHANGE_FORMAT           = ASCII                                                      
 COLUMNS                      = 8                                                          
 ^STRUCTURE                   = "RATEQUAT.FMT"                                             
 DESCRIPTION                  = "                                                          
  The data in this file are the angular rates and quaternions from the Mars                
  Odyssey for orbit 134 of aerobraking at Mars.  The data comes from                       
  p134_slew.drf.                                                                           
                                                                                           
  R.H. Tolson                                                                              
  03-Nov-2007                                                                              
  "                                                                                        
                                                                                           
END_OBJECT                    = TABLE                                                      
END                                                                                        
                                                                                           
2001-354T02:10:54.000  0.001094  0.000035 -0.000155 -0.181999  0.139318 -0.477743  0.848073
2001-354T02:10:55.000  0.001100  0.000029 -0.000148 -0.181539  0.139055 -0.477887  0.848134
2001-354T02:10:56.000  0.001092  0.000046 -0.000145 -0.181080  0.138794 -0.478030  0.848194
2001-354T02:10:57.000  0.001095  0.000037 -0.000153 -0.180622  0.138532 -0.478174  0.848254
2001-354T02:10:58.000  0.001093  0.000040 -0.000145 -0.180165  0.138270 -0.478317  0.848313
2001-354T02:10:59.000  0.001082  0.000034 -0.000146 -0.179704  0.138006 -0.478461  0.848372
2001-354T02:11:00.000  0.001087  0.000033 -0.000162 -0.179244  0.137743 -0.478607  0.848430
2001-354T02:11:01.000  0.001094  0.000030 -0.000153 -0.178786  0.137482 -0.478750  0.848488
2001-354T02:11:02.000  0.001094  0.000030 -0.000172 -0.178327  0.137218 -0.478895  0.848546
2001-354T02:11:03.000  0.001102  0.000012 -0.000165 -0.177868  0.136953 -0.479040  0.848603
2001-354T02:11:04.000  0.001102  0.000038 -0.000156 -0.177411  0.136693 -0.479184  0.848660
2001-354T02:11:05.000  0.001088  0.000033 -0.000166 -0.176953  0.136431 -0.479330  0.848715
2001-354T02:11:06.000  0.001091  0.000036 -0.000155 -0.176493  0.136167 -0.479476  0.848771
2001-354T02:11:07.000  0.001091  0.000044 -0.000176 -0.176035  0.135904 -0.479623  0.848825
2001-354T02:11:08.000  0.001111  0.000036 -0.000160 -0.175576  0.135641 -0.479769  0.848879
2001-354T02:11:09.000  0.001091  0.000011 -0.000167 -0.175121  0.135379 -0.479914  0.848933
2001-354T02:11:10.000  0.001081  0.000037 -0.000163 -0.174661  0.135117 -0.480061  0.848987
2001-354T02:11:11.000  0.001077  0.000043 -0.000169 -0.174204  0.134854 -0.480207  0.849040
2001-354T02:11:12.000  0.001068  0.000015 -0.000161 -0.173745  0.134590 -0.480354  0.849093
2001-354T02:11:13.000  0.001085  0.000023 -0.000174 -0.173286  0.134327 -0.480503  0.849144
2001-354T02:11:14.000  0.001087  0.000046 -0.000163 -0.172831  0.134067 -0.480648  0.849195
2001-354T02:11:15.000  0.001089  0.000042 -0.000175 -0.172370  0.133801 -0.480796  0.849247
2001-354T02:11:16.000  0.001090  0.000026 -0.000169 -0.171913  0.133539 -0.480943  0.849298
2001-354T02:11:17.000  0.001073  0.000039 -0.000174 -0.171455  0.133277 -0.481091  0.849348
2001-354T02:11:18.000  0.001096  0.000042 -0.000166 -0.170995  0.133012 -0.481238  0.849399
2001-354T02:11:19.000  0.001066  0.000024 -0.000191 -0.170539  0.132749 -0.481387  0.849448
2001-354T02:11:20.000  0.001100  0.000037 -0.000175 -0.170088  0.132490 -0.481532  0.849496
2001-354T02:11:21.000  0.001104  0.000033 -0.000180 -0.169624  0.132223 -0.481683  0.849545
2001-354T02:11:22.000  0.001085  0.000031 -0.000171 -0.169166  0.131959 -0.481830  0.849594
2001-354T02:11:23.000  0.001090  0.000030 -0.000170 -0.168709  0.131696 -0.481978  0.849641
2001-354T02:11:24.000  0.001099  0.000049 -0.000166 -0.168250  0.131434 -0.482128  0.849688
2001-354T02:11:25.000  0.001085  0.000040 -0.000174 -0.167795  0.131171 -0.482276  0.849734
2001-354T02:11:26.000  0.001085  0.000034 -0.000173 -0.167336  0.130907 -0.482425  0.849781
